sample	species	genus	superkingdom	taxonReads
191011_SND405_A_L007_APMG-6-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	88
191011_SND405_A_L007_APMG-6-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	177
191011_SND405_A_L007_APMG-6-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	62
191011_SND405_A_L007_APMG-6-4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	282
191011_SND405_A_L007_APMG-6-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
191011_SND405_A_L007_APMG-6-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
200313_A00902_A_L001_APMG-8-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	273
200313_A00902_A_L001_APMG-8-10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	78
200313_A00902_A_L001_APMG-8-11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	35
200313_A00902_A_L001_APMG-8-12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	84
200313_A00902_A_L001_APMG-8-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	217
200313_A00902_A_L001_APMG-8-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	280
200313_A00902_A_L001_APMG-8-4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	749
200313_A00902_A_L001_APMG-8-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	432
200313_A00902_A_L001_APMG-8-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	43
200313_A00902_A_L001_APMG-8-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
200313_A00902_A_L001_APMG-8-9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	64
200313_A00902_A_L002_APMG-9-1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	60
200313_A00902_A_L002_APMG-9-10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
200313_A00902_A_L002_APMG-9-11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
200313_A00902_A_L002_APMG-9-2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	47
200313_A00902_A_L002_APMG-9-3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
200313_A00902_A_L002_APMG-9-5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	50
200313_A00902_A_L002_APMG-9-6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	45
200313_A00902_A_L002_APMG-9-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	23
200313_A00902_A_L002_APMG-9-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	32
200313_A00902_A_L002_APMG-9-9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
201118_A00902_B_L1-2_APMG_19_13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_16	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
201118_A00902_B_L1-2_APMG_19_17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L001_APMG-37-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L001_APMG-37-8	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
210810_A00902_B_L002_APMG-38-7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
ELS167S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE111L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE112L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE112L-4_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
IE112L-6_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE113L-1_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE113L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
IE114L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
JK079L-9_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-12_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK081L-9_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
JK136L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	27
JK136L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	122
JK136L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	237
JK136L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	31
JK136L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	116
JK136L-7_S7	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	217
JK137L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	234
JK137L-2_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	89
JK137L-3_S11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	177
JK137L-4_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	286
JK137L-5_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	173
JK137L-6_S14	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	352
JK137L-7_S15	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	249
JK138L-1_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	286
JK138L-2_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	244
JK138L-3_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	532
JK138L-4_S20	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	506
JK138L-6_S22	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	143
JK138L-7_S23	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	103
JoW001L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	18
JoW001L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	4
JoW001L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	28
JoW001L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	13
JoW001L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	12
JoW001L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	12
JoW002L-1_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	7
JoW002L-2_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	21
JoW002L-4_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	34
JoW002L-5_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	43
JoW002L-6_S14	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	102
JoW003L-1_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	70
JoW003L-2_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	41
JoW003L-3_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
JoW003L-4_S20	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
JoW003L-5_S21	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
JoW003L-6_S22	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-1_S25	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	6
JoW004L-2_S26	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-3_S27	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
JoW004L-4_S28	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	15
JoW004L-5_S29	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
JoW004L-6_S30	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	36
JoW005L-1_S33	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
JoW005L-2_S34	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	76
JoW005L-3_S35	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	120
JoW005L-4_S36	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	152
JoW007L-1_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	11
JoW007L-2_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	36
JoW007L-3_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	33
JoW007L-4_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	27
JoW007L-5_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
JoW007L-6_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	8
StB097L-01_S1	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	136
StB097L-02_S2	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	50
StB097L-03_S3	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	123
StB097L-04_S4	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	258
StB097L-05_S5	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	620
StB097L-06_S6	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	178
StB106L-01_S9	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	10
StB106L-02_S10	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	33
StB106L-04_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	16
StB106L-05_S13	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	51
StB108L-01_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	246
StB108L-02_S18	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	191
StB108L-03_S19	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	276
StB108L-05_S21	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	84
StB108L-07_S23	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	66
StB109L-01_S25	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	619
StB109L-02_S26	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	814
StB109L-04_S28	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	439
StB109L-05_S29	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	314
StB109L-06_S30	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	118
WJ194L-6_S26	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
WJ195L-1_S17	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	2
WJ196L-11_S11	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
WJ196L-12_S12	Candidatus Pelagibacter bacterium	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	162
191011_SND405_A_L007_APMG-6-2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	307
191011_SND405_A_L007_APMG-6-3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	147
191011_SND405_A_L007_APMG-6-4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	479
191011_SND405_A_L007_APMG-6-5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	3
191011_SND405_A_L007_APMG-6-6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	54
200313_A00902_A_L001_APMG-8-1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	465
200313_A00902_A_L001_APMG-8-10	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	110
200313_A00902_A_L001_APMG-8-11	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	83
200313_A00902_A_L001_APMG-8-12	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	133
200313_A00902_A_L001_APMG-8-2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	376
200313_A00902_A_L001_APMG-8-3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	502
200313_A00902_A_L001_APMG-8-4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1321
200313_A00902_A_L001_APMG-8-5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	728
200313_A00902_A_L001_APMG-8-6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	82
200313_A00902_A_L001_APMG-8-8	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	24
200313_A00902_A_L001_APMG-8-9	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	80
200313_A00902_A_L002_APMG-9-1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	109
200313_A00902_A_L002_APMG-9-10	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	34
200313_A00902_A_L002_APMG-9-11	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	13
200313_A00902_A_L002_APMG-9-2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	86
200313_A00902_A_L002_APMG-9-3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	75
200313_A00902_A_L002_APMG-9-5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	80
200313_A00902_A_L002_APMG-9-6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	71
200313_A00902_A_L002_APMG-9-7	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	52
200313_A00902_A_L002_APMG-9-8	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	95
200313_A00902_A_L002_APMG-9-9	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	16
210810_A00902_B_L001_APMG-37-4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
IE112L-4_S17	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
IE113L-2_S14	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
IE113L-6_S6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
IE114L-3_S11	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
JK081L-12_S12	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
JK105L-6_S21	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
JK109L-6_S31	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
JK136L-2_S2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	20
JK136L-3_S3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	44
JK136L-4_S4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	238
JK136L-5_S5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	37
JK136L-6_S6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	205
JK136L-7_S7	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	374
JK137L-1_S9	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	332
JK137L-2_S10	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	107
JK137L-3_S11	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	304
JK137L-4_S12	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	419
JK137L-5_S13	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	304
JK137L-6_S14	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	516
JK137L-7_S15	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	393
JK138L-1_S17	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	380
JK138L-2_S18	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	364
JK138L-3_S19	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	760
JK138L-4_S20	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	806
JK138L-6_S22	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	254
JK138L-7_S23	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	177
JoW001L-1_S1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	18
JoW001L-2_S2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	9
JoW001L-3_S3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	40
JoW001L-4_S4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	13
JoW001L-5_S5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	24
JoW001L-6_S6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	23
JoW002L-1_S9	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	33
JoW002L-2_S10	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	36
JoW002L-4_S12	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	71
JoW002L-5_S13	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	72
JoW002L-6_S14	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	185
JoW003L-1_S17	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	112
JoW003L-2_S18	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	43
JoW003L-3_S19	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	26
JoW003L-4_S20	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	12
JoW003L-5_S21	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	14
JoW003L-6_S22	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	18
JoW004L-1_S25	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	5
JoW004L-2_S26	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	10
JoW004L-3_S27	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	18
JoW004L-4_S28	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	25
JoW004L-5_S29	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	10
JoW004L-6_S30	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	52
JoW005L-1_S33	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	31
JoW005L-2_S34	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	85
JoW005L-3_S35	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	220
JoW005L-4_S36	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	256
JoW007L-1_S1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	23
JoW007L-2_S2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	40
JoW007L-3_S3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	60
JoW007L-4_S4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	44
JoW007L-5_S5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	22
JoW007L-6_S6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	10
StB097L-01_S1	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	247
StB097L-02_S2	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	69
StB097L-03_S3	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	179
StB097L-04_S4	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	454
StB097L-05_S5	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1000
StB097L-06_S6	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	331
StB106L-01_S9	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	13
StB106L-02_S10	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	44
StB106L-04_S12	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	28
StB106L-05_S13	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	89
StB108L-01_S17	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	338
StB108L-02_S18	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	295
StB108L-03_S19	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	395
StB108L-05_S21	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	135
StB108L-07_S23	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	111
StB109L-01_S25	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	790
StB109L-02_S26	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1140
StB109L-04_S28	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	813
StB109L-05_S29	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	533
StB109L-06_S30	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	179
WJ194L-2_S22	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
WJ194L-3_S23	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
WJ194L-6_S26	Candidatus Pelagibacter giovannonii	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-2	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-4	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
200313_A00902_A_L001_APMG-8-1	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	5
200313_A00902_A_L001_APMG-8-11	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
200313_A00902_A_L001_APMG-8-12	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
200313_A00902_A_L001_APMG-8-3	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
200313_A00902_A_L001_APMG-8-4	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
200313_A00902_A_L001_APMG-8-5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	3
200313_A00902_A_L001_APMG-8-9	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
200313_A00902_A_L002_APMG-9-5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
200313_A00902_A_L002_APMG-9-6	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_17	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
201118_A00902_B_L1-2_APMG_19_9	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
210810_A00902_B_L002_APMG-38-5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
ELS162S7	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
IE113L-1_S13	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK080L-9_S25	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK081L-2_S2	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK136L-3_S3	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JK136L-4_S4	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK136L-5_S5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK136L-6_S6	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JK136L-7_S7	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JK137L-4_S12	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JK137L-5_S13	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK137L-7_S15	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK138L-1_S17	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK138L-3_S19	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	5
JK138L-6_S22	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JK138L-7_S23	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW001L-2_S2	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW001L-5_S5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW001L-6_S6	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW002L-4_S12	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW003L-4_S20	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW004L-3_S27	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW004L-4_S28	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JoW005L-1_S33	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
JoW005L-2_S34	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW005L-3_S35	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW005L-4_S36	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW007L-1_S1	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
JoW007L-2_S2	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB097L-01_S1	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	8
StB097L-02_S2	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB097L-04_S4	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB097L-05_S5	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB097L-06_S6	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB106L-05_S13	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
StB108L-01_S17	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
StB108L-02_S18	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	3
StB108L-03_S19	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB109L-01_S25	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
StB109L-02_S26	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	3
StB109L-04_S28	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	2
StB109L-05_S29	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	4
StB109L-06_S30	Candidatus Pelagibacter sp. FZCC0015	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Candidatus Pelagibacter sp. HIMB1321	Pelagibacter	Bacteria	1
191011_SND405_A_L007_APMG-6-4	Candidatus Pelagibacter sp. HIMB1321	Pelagibacter	Bacteria	1
200313_A00902_A_L001_APMG-8-1	Candidatus Pelagibacter sp. HIMB1321	Pelagibacter	Bacteria	1
