sample	family	superkingdom	taxonReads
BH193L-4_S23	Methylophilaceae	Bacteria	735
BH193L-5_S24	Methylophilaceae	Bacteria	168
BH194L-1_S25	Methylophilaceae	Bacteria	2612
BH194L-2_S26	Methylophilaceae	Bacteria	652441
BH194L-3_S25	Methylophilaceae	Bacteria	72
BH194L-4_S16	Methylophilaceae	Bacteria	733
BH194L-4_S17	Methylophilaceae	Bacteria	466
BH194L-6_S26	Methylophilaceae	Bacteria	666
BH194L-7_S17	Methylophilaceae	Bacteria	13035
BH194L-7_S18	Methylophilaceae	Bacteria	8726
BH195L-1_S27	Methylophilaceae	Bacteria	10172
BH195L-2_S18	Methylophilaceae	Bacteria	5541
BH195L-2_S19	Methylophilaceae	Bacteria	3457
BH195L-3_S28	Methylophilaceae	Bacteria	10908
BH195L-4_S29	Methylophilaceae	Bacteria	887
EBS12	Methylophilaceae	Bacteria	1
ELS162S7	Methylophilaceae	Bacteria	204
ELS163S8	Methylophilaceae	Bacteria	133
ELS165S9	Methylophilaceae	Bacteria	222
ELS167S10	Methylophilaceae	Bacteria	275
ELS170S11	Methylophilaceae	Bacteria	1
IE111L-1_S1	Methylophilaceae	Bacteria	310
IE111L-2_S2	Methylophilaceae	Bacteria	217
IE111L-3_S3	Methylophilaceae	Bacteria	258
IE111L-4_S1	Methylophilaceae	Bacteria	211
IE111L-5_S5	Methylophilaceae	Bacteria	805
IE111L-6_S6	Methylophilaceae	Bacteria	247
IE111L-7_S7	Methylophilaceae	Bacteria	411
IE112L-1_S9	Methylophilaceae	Bacteria	517
IE112L-2_S10	Methylophilaceae	Bacteria	1629
IE112L-3_S11	Methylophilaceae	Bacteria	266
IE112L-4_S17	Methylophilaceae	Bacteria	196
IE112L-5_S18	Methylophilaceae	Bacteria	197
IE112L-6_S19	Methylophilaceae	Bacteria	187
IE112L-7_S12	Methylophilaceae	Bacteria	1425
IE113L-1_S13	Methylophilaceae	Bacteria	334
IE113L-2_S14	Methylophilaceae	Bacteria	302
IE113L-3_S3	Methylophilaceae	Bacteria	427
IE113L-4_S4	Methylophilaceae	Bacteria	543
IE113L-5_S5	Methylophilaceae	Bacteria	304
IE113L-6_S6	Methylophilaceae	Bacteria	296
IE113L-7_S7	Methylophilaceae	Bacteria	689
IE114L-1_S9	Methylophilaceae	Bacteria	522
IE114L-2_S10	Methylophilaceae	Bacteria	355
IE114L-3_S11	Methylophilaceae	Bacteria	339
IE114L-5_S2	Methylophilaceae	Bacteria	1
IE114L-6_S16	Methylophilaceae	Bacteria	8
IE114L-7_S17	Methylophilaceae	Bacteria	8
JK079L-1_S1	Methylophilaceae	Bacteria	799
JK079L-10-WDH_S10	Methylophilaceae	Bacteria	378
JK079L-11-WDH_S11	Methylophilaceae	Bacteria	300
JK079L-12-WDH_S12	Methylophilaceae	Bacteria	479
JK079L-13-WDH_S13	Methylophilaceae	Bacteria	469
JK079L-14-WDH_S14	Methylophilaceae	Bacteria	1825
JK079L-16_S16	Methylophilaceae	Bacteria	1
JK079L-2_S2	Methylophilaceae	Bacteria	834
JK079L-3_S3	Methylophilaceae	Bacteria	426
JK079L-4_S4	Methylophilaceae	Bacteria	522
JK079L-5_S5	Methylophilaceae	Bacteria	1206
JK079L-6-WDH_S6	Methylophilaceae	Bacteria	5637
JK079L-7-WDH_S7	Methylophilaceae	Bacteria	227
JK079L-8_S8	Methylophilaceae	Bacteria	544
JK079L-9_S9	Methylophilaceae	Bacteria	717
JK080L-1_S17	Methylophilaceae	Bacteria	3459
JK080L-10_S26	Methylophilaceae	Bacteria	64
JK080L-11_S27	Methylophilaceae	Bacteria	193
JK080L-12_S28	Methylophilaceae	Bacteria	538
JK080L-13_S29	Methylophilaceae	Bacteria	367
JK080L-14_S30	Methylophilaceae	Bacteria	466
JK080L-2_S18	Methylophilaceae	Bacteria	3146
JK080L-3_S19	Methylophilaceae	Bacteria	13669
JK080L-4_S20	Methylophilaceae	Bacteria	18259
JK080L-5_S21	Methylophilaceae	Bacteria	1
JK080L-6_S22	Methylophilaceae	Bacteria	5941
JK080L-7_S23	Methylophilaceae	Bacteria	267
JK080L-8_S24	Methylophilaceae	Bacteria	60
JK080L-9_S25	Methylophilaceae	Bacteria	129
JK081L-1_S1	Methylophilaceae	Bacteria	375
JK081L-11_S11	Methylophilaceae	Bacteria	586
JK081L-12_S12	Methylophilaceae	Bacteria	745
JK081L-13_S13	Methylophilaceae	Bacteria	587
JK081L-2_S2	Methylophilaceae	Bacteria	660
JK081L-3_S3	Methylophilaceae	Bacteria	282
JK081L-4_S4	Methylophilaceae	Bacteria	491
JK081L-6_S6	Methylophilaceae	Bacteria	516
JK081L-7_S7	Methylophilaceae	Bacteria	1311
JK081L-8_S8	Methylophilaceae	Bacteria	378
JK081L-9_S9	Methylophilaceae	Bacteria	811
JK105L-6_S21	Methylophilaceae	Bacteria	872
JK109L-4_S21	Methylophilaceae	Bacteria	24670
JK109L-4_S22	Methylophilaceae	Bacteria	42013
JK109L-5_S30	Methylophilaceae	Bacteria	432
JK109L-6_S31	Methylophilaceae	Bacteria	3336
JK115L-2_S24	Methylophilaceae	Bacteria	1181
JK115L-4_S23	Methylophilaceae	Bacteria	938
JK136L-2_S2	Methylophilaceae	Bacteria	83
JK136L-3_S3	Methylophilaceae	Bacteria	173
JK136L-4_S4	Methylophilaceae	Bacteria	164
JK136L-5_S5	Methylophilaceae	Bacteria	247
JK136L-6_S6	Methylophilaceae	Bacteria	293
JK136L-7_S7	Methylophilaceae	Bacteria	189
JK137L-1_S9	Methylophilaceae	Bacteria	146
JK137L-2_S10	Methylophilaceae	Bacteria	101
JK137L-3_S11	Methylophilaceae	Bacteria	141
JK137L-4_S12	Methylophilaceae	Bacteria	172
JK137L-5_S13	Methylophilaceae	Bacteria	321
JK137L-6_S14	Methylophilaceae	Bacteria	158
JK137L-7_S15	Methylophilaceae	Bacteria	68
JK138L-1_S17	Methylophilaceae	Bacteria	76
JK138L-2_S18	Methylophilaceae	Bacteria	193
JK138L-3_S19	Methylophilaceae	Bacteria	207
JK138L-4_S20	Methylophilaceae	Bacteria	192
JK138L-6_S22	Methylophilaceae	Bacteria	269
JK138L-7_S23	Methylophilaceae	Bacteria	121
JoW001L-1_S1	Methylophilaceae	Bacteria	594
JoW001L-2_S2	Methylophilaceae	Bacteria	459
JoW001L-3_S3	Methylophilaceae	Bacteria	510
JoW001L-4_S4	Methylophilaceae	Bacteria	507
JoW001L-5_S5	Methylophilaceae	Bacteria	374
JoW001L-6_S6	Methylophilaceae	Bacteria	401
JoW002L-1_S9	Methylophilaceae	Bacteria	93
JoW002L-2_S10	Methylophilaceae	Bacteria	89
JoW002L-4_S12	Methylophilaceae	Bacteria	353
JoW002L-5_S13	Methylophilaceae	Bacteria	204
JoW002L-6_S14	Methylophilaceae	Bacteria	358
JoW003L-1_S17	Methylophilaceae	Bacteria	36
JoW003L-2_S18	Methylophilaceae	Bacteria	197
JoW003L-3_S19	Methylophilaceae	Bacteria	134
JoW003L-4_S20	Methylophilaceae	Bacteria	141
JoW003L-5_S21	Methylophilaceae	Bacteria	182
JoW003L-6_S22	Methylophilaceae	Bacteria	85
JoW004L-1_S25	Methylophilaceae	Bacteria	82
JoW004L-2_S26	Methylophilaceae	Bacteria	201
JoW004L-3_S27	Methylophilaceae	Bacteria	52
JoW004L-4_S28	Methylophilaceae	Bacteria	20
JoW004L-5_S29	Methylophilaceae	Bacteria	8
JoW004L-6_S30	Methylophilaceae	Bacteria	14
JoW005L-1_S33	Methylophilaceae	Bacteria	722
JoW005L-2_S34	Methylophilaceae	Bacteria	248
JoW005L-3_S35	Methylophilaceae	Bacteria	315
JoW005L-4_S36	Methylophilaceae	Bacteria	326
JoW007L-1_S1	Methylophilaceae	Bacteria	20
JoW007L-2_S2	Methylophilaceae	Bacteria	78
JoW007L-3_S3	Methylophilaceae	Bacteria	39
JoW007L-4_S4	Methylophilaceae	Bacteria	167
JoW007L-5_S5	Methylophilaceae	Bacteria	62
JoW007L-6_S6	Methylophilaceae	Bacteria	116
StB097L-01_S1	Methylophilaceae	Bacteria	373
StB097L-02_S2	Methylophilaceae	Bacteria	240
StB097L-03_S3	Methylophilaceae	Bacteria	118
StB097L-04_S4	Methylophilaceae	Bacteria	126
StB097L-05_S5	Methylophilaceae	Bacteria	209
StB097L-06_S6	Methylophilaceae	Bacteria	68
StB097L-07_S7	Methylophilaceae	Bacteria	10
StB106L-01_S9	Methylophilaceae	Bacteria	33
StB106L-02_S10	Methylophilaceae	Bacteria	46
StB106L-04_S12	Methylophilaceae	Bacteria	168
StB106L-05_S13	Methylophilaceae	Bacteria	65
StB106L-06_S14	Methylophilaceae	Bacteria	5
StB108L-01_S17	Methylophilaceae	Bacteria	105
StB108L-02_S18	Methylophilaceae	Bacteria	214
StB108L-03_S19	Methylophilaceae	Bacteria	222
StB108L-04_S20	Methylophilaceae	Bacteria	3
StB108L-05_S21	Methylophilaceae	Bacteria	261
StB108L-06_S22	Methylophilaceae	Bacteria	11
StB108L-07_S23	Methylophilaceae	Bacteria	104
StB109L-01_S25	Methylophilaceae	Bacteria	124
StB109L-02_S26	Methylophilaceae	Bacteria	198
StB109L-04_S28	Methylophilaceae	Bacteria	121
StB109L-05_S29	Methylophilaceae	Bacteria	221
StB109L-06_S30	Methylophilaceae	Bacteria	311
StB109L-07_S31	Methylophilaceae	Bacteria	7
WJ192L-1_S29	Methylophilaceae	Bacteria	54
WJ192L-3_S30	Methylophilaceae	Bacteria	35
WJ192L-4_S31	Methylophilaceae	Bacteria	82
WJ192L-5_S32	Methylophilaceae	Bacteria	165
WJ192L-7_S34	Methylophilaceae	Bacteria	9
WJ194L-2_S22	Methylophilaceae	Bacteria	86
WJ194L-3_S23	Methylophilaceae	Bacteria	83
WJ194L-4_S24	Methylophilaceae	Bacteria	100
WJ194L-5_S25	Methylophilaceae	Bacteria	72
WJ194L-6_S26	Methylophilaceae	Bacteria	65
WJ194L-7_S27	Methylophilaceae	Bacteria	19
WJ195L-1_S17	Methylophilaceae	Bacteria	76
WJ195L-5_S18	Methylophilaceae	Bacteria	35
WJ195L-7_S19	Methylophilaceae	Bacteria	2
WJ196L-1_S1	Methylophilaceae	Bacteria	3
WJ196L-10_S10	Methylophilaceae	Bacteria	27
WJ196L-11_S11	Methylophilaceae	Bacteria	172
WJ196L-12_S12	Methylophilaceae	Bacteria	102
WJ196L-13_S13	Methylophilaceae	Bacteria	229
WJ196L-14_S14	Methylophilaceae	Bacteria	126
WJ196L-15_S15	Methylophilaceae	Bacteria	220
WJ196L-2_S2	Methylophilaceae	Bacteria	4
WJ196L-3_S3	Methylophilaceae	Bacteria	7
WJ196L-4_S4	Methylophilaceae	Bacteria	7
WJ196L-5_S5	Methylophilaceae	Bacteria	13
WJ196L-6_S6	Methylophilaceae	Bacteria	16
WJ196L-7_S7	Methylophilaceae	Bacteria	28
WJ196L-8_S8	Methylophilaceae	Bacteria	60
WJ196L-9_S9	Methylophilaceae	Bacteria	37
191011_SND405_A_L007_APMG-6-1	Paracoccaceae	Bacteria	3313
191011_SND405_A_L007_APMG-6-2	Paracoccaceae	Bacteria	273
191011_SND405_A_L007_APMG-6-3	Paracoccaceae	Bacteria	680
191011_SND405_A_L007_APMG-6-4	Paracoccaceae	Bacteria	248
191011_SND405_A_L007_APMG-6-5	Paracoccaceae	Bacteria	165
191011_SND405_A_L007_APMG-6-6	Paracoccaceae	Bacteria	1043
191011_SND405_A_L007_APMG-6-7	Paracoccaceae	Bacteria	2
191011_SND405_A_L007_APMG-6-8	Paracoccaceae	Bacteria	1
200313_A00902_A_L001_APMG-8-1	Paracoccaceae	Bacteria	465
200313_A00902_A_L001_APMG-8-10	Paracoccaceae	Bacteria	1148
200313_A00902_A_L001_APMG-8-11	Paracoccaceae	Bacteria	761
200313_A00902_A_L001_APMG-8-12	Paracoccaceae	Bacteria	1271
200313_A00902_A_L001_APMG-8-2	Paracoccaceae	Bacteria	248
200313_A00902_A_L001_APMG-8-3	Paracoccaceae	Bacteria	399
200313_A00902_A_L001_APMG-8-4	Paracoccaceae	Bacteria	856
200313_A00902_A_L001_APMG-8-5	Paracoccaceae	Bacteria	578
200313_A00902_A_L001_APMG-8-6	Paracoccaceae	Bacteria	226
200313_A00902_A_L001_APMG-8-8	Paracoccaceae	Bacteria	594
200313_A00902_A_L001_APMG-8-9	Paracoccaceae	Bacteria	97
200313_A00902_A_L002_APMG-9-1	Paracoccaceae	Bacteria	445
200313_A00902_A_L002_APMG-9-10	Paracoccaceae	Bacteria	1936
200313_A00902_A_L002_APMG-9-11	Paracoccaceae	Bacteria	1321
200313_A00902_A_L002_APMG-9-2	Paracoccaceae	Bacteria	441
200313_A00902_A_L002_APMG-9-3	Paracoccaceae	Bacteria	374
200313_A00902_A_L002_APMG-9-5	Paracoccaceae	Bacteria	1009
200313_A00902_A_L002_APMG-9-6	Paracoccaceae	Bacteria	1236
200313_A00902_A_L002_APMG-9-7	Paracoccaceae	Bacteria	2797
200313_A00902_A_L002_APMG-9-8	Paracoccaceae	Bacteria	2048
200313_A00902_A_L002_APMG-9-9	Paracoccaceae	Bacteria	1713
201118_A00902_B_L1-2_APMG_19_1	Paracoccaceae	Bacteria	712
201118_A00902_B_L1-2_APMG_19_10	Paracoccaceae	Bacteria	387
201118_A00902_B_L1-2_APMG_19_11	Paracoccaceae	Bacteria	541
201118_A00902_B_L1-2_APMG_19_12	Paracoccaceae	Bacteria	1332
201118_A00902_B_L1-2_APMG_19_13	Paracoccaceae	Bacteria	1769
201118_A00902_B_L1-2_APMG_19_14	Paracoccaceae	Bacteria	407
201118_A00902_B_L1-2_APMG_19_15	Paracoccaceae	Bacteria	3920
201118_A00902_B_L1-2_APMG_19_16	Paracoccaceae	Bacteria	2991
201118_A00902_B_L1-2_APMG_19_17	Paracoccaceae	Bacteria	7399
201118_A00902_B_L1-2_APMG_19_18	Paracoccaceae	Bacteria	9
201118_A00902_B_L1-2_APMG_19_19	Paracoccaceae	Bacteria	2
201118_A00902_B_L1-2_APMG_19_2	Paracoccaceae	Bacteria	1030
201118_A00902_B_L1-2_APMG_19_20	Paracoccaceae	Bacteria	7
201118_A00902_B_L1-2_APMG_19_21	Paracoccaceae	Bacteria	6
201118_A00902_B_L1-2_APMG_19_3	Paracoccaceae	Bacteria	635
201118_A00902_B_L1-2_APMG_19_4	Paracoccaceae	Bacteria	6
201118_A00902_B_L1-2_APMG_19_5	Paracoccaceae	Bacteria	631
201118_A00902_B_L1-2_APMG_19_6	Paracoccaceae	Bacteria	518
201118_A00902_B_L1-2_APMG_19_7	Paracoccaceae	Bacteria	830
201118_A00902_B_L1-2_APMG_19_8	Paracoccaceae	Bacteria	590
201118_A00902_B_L1-2_APMG_19_9	Paracoccaceae	Bacteria	579
210810_A00902_B_L001_APMG-37-1	Paracoccaceae	Bacteria	1815
210810_A00902_B_L001_APMG-37-10	Paracoccaceae	Bacteria	578
210810_A00902_B_L001_APMG-37-11	Paracoccaceae	Bacteria	580
210810_A00902_B_L001_APMG-37-13	Paracoccaceae	Bacteria	1
210810_A00902_B_L001_APMG-37-15	Paracoccaceae	Bacteria	17
210810_A00902_B_L001_APMG-37-2	Paracoccaceae	Bacteria	585
210810_A00902_B_L001_APMG-37-3	Paracoccaceae	Bacteria	515
210810_A00902_B_L001_APMG-37-4	Paracoccaceae	Bacteria	663
210810_A00902_B_L001_APMG-37-5	Paracoccaceae	Bacteria	1
210810_A00902_B_L001_APMG-37-6	Paracoccaceae	Bacteria	587
210810_A00902_B_L001_APMG-37-7	Paracoccaceae	Bacteria	764
210810_A00902_B_L001_APMG-37-8	Paracoccaceae	Bacteria	534
210810_A00902_B_L001_APMG-37-9	Paracoccaceae	Bacteria	1188
210810_A00902_B_L002_APMG-38-1	Paracoccaceae	Bacteria	551
210810_A00902_B_L002_APMG-38-10	Paracoccaceae	Bacteria	1076
210810_A00902_B_L002_APMG-38-11	Paracoccaceae	Bacteria	6
210810_A00902_B_L002_APMG-38-14	Paracoccaceae	Bacteria	7
210810_A00902_B_L002_APMG-38-15	Paracoccaceae	Bacteria	2492
210810_A00902_B_L002_APMG-38-2	Paracoccaceae	Bacteria	495
210810_A00902_B_L002_APMG-38-3	Paracoccaceae	Bacteria	801
210810_A00902_B_L002_APMG-38-4	Paracoccaceae	Bacteria	791
210810_A00902_B_L002_APMG-38-5	Paracoccaceae	Bacteria	1069
210810_A00902_B_L002_APMG-38-6	Paracoccaceae	Bacteria	6
210810_A00902_B_L002_APMG-38-7	Paracoccaceae	Bacteria	2807
210810_A00902_B_L002_APMG-38-8	Paracoccaceae	Bacteria	1289
210810_A00902_B_L002_APMG-38-9	Paracoccaceae	Bacteria	2298
BH193L-1_S22	Paracoccaceae	Bacteria	1276
BH193L-2_S19	Paracoccaceae	Bacteria	2484
BH193L-2_S20	Paracoccaceae	Bacteria	1724
BH193L-3_S20	Paracoccaceae	Bacteria	402
BH193L-4_S23	Paracoccaceae	Bacteria	400
BH193L-5_S24	Paracoccaceae	Bacteria	314
BH194L-1_S25	Paracoccaceae	Bacteria	1444
BH194L-2_S26	Paracoccaceae	Bacteria	378
BH194L-3_S25	Paracoccaceae	Bacteria	421
BH194L-4_S16	Paracoccaceae	Bacteria	555
BH194L-4_S17	Paracoccaceae	Bacteria	348
BH194L-6_S26	Paracoccaceae	Bacteria	431
BH194L-7_S17	Paracoccaceae	Bacteria	1085
BH194L-7_S18	Paracoccaceae	Bacteria	770
BH195L-1_S27	Paracoccaceae	Bacteria	673
BH195L-2_S18	Paracoccaceae	Bacteria	2113
BH195L-2_S19	Paracoccaceae	Bacteria	1379
BH195L-3_S28	Paracoccaceae	Bacteria	608
BH195L-4_S29	Paracoccaceae	Bacteria	816
EBS12	Paracoccaceae	Bacteria	2
ELS162S7	Paracoccaceae	Bacteria	1333
ELS163S8	Paracoccaceae	Bacteria	751
ELS165S9	Paracoccaceae	Bacteria	2416
ELS167S10	Paracoccaceae	Bacteria	818
IE111L-1_S1	Paracoccaceae	Bacteria	1080
IE111L-2_S2	Paracoccaceae	Bacteria	1249
IE111L-3_S3	Paracoccaceae	Bacteria	1026
IE111L-4_S1	Paracoccaceae	Bacteria	1198
IE111L-5_S5	Paracoccaceae	Bacteria	1056
IE111L-6_S6	Paracoccaceae	Bacteria	1399
IE111L-7_S7	Paracoccaceae	Bacteria	12835
IE112L-1_S9	Paracoccaceae	Bacteria	1395
IE112L-2_S10	Paracoccaceae	Bacteria	934
IE112L-3_S11	Paracoccaceae	Bacteria	988
IE112L-4_S17	Paracoccaceae	Bacteria	1627
IE112L-5_S18	Paracoccaceae	Bacteria	633
IE112L-6_S19	Paracoccaceae	Bacteria	846
IE112L-7_S12	Paracoccaceae	Bacteria	357
IE113L-1_S13	Paracoccaceae	Bacteria	1144
IE113L-2_S14	Paracoccaceae	Bacteria	2287
IE113L-3_S3	Paracoccaceae	Bacteria	1748
IE113L-4_S4	Paracoccaceae	Bacteria	1312
IE113L-5_S5	Paracoccaceae	Bacteria	1544
IE113L-6_S6	Paracoccaceae	Bacteria	1980
IE113L-7_S7	Paracoccaceae	Bacteria	1842
IE114L-1_S9	Paracoccaceae	Bacteria	1707
IE114L-2_S10	Paracoccaceae	Bacteria	2115
IE114L-3_S11	Paracoccaceae	Bacteria	1562
IE114L-4_S4	Paracoccaceae	Bacteria	1
IE114L-5_S2	Paracoccaceae	Bacteria	1
IE114L-6_S16	Paracoccaceae	Bacteria	3
IE114L-7_S17	Paracoccaceae	Bacteria	1
IE115L-3_S19	Paracoccaceae	Bacteria	2
JK079L-1_S1	Paracoccaceae	Bacteria	615
JK079L-10-WDH_S10	Paracoccaceae	Bacteria	944
JK079L-11-WDH_S11	Paracoccaceae	Bacteria	549
JK079L-12-WDH_S12	Paracoccaceae	Bacteria	596
JK079L-13-WDH_S13	Paracoccaceae	Bacteria	1081
JK079L-14-WDH_S14	Paracoccaceae	Bacteria	843
JK079L-2_S2	Paracoccaceae	Bacteria	734
JK079L-3_S3	Paracoccaceae	Bacteria	515
JK079L-4_S4	Paracoccaceae	Bacteria	950
JK079L-5_S5	Paracoccaceae	Bacteria	650
JK079L-6-WDH_S6	Paracoccaceae	Bacteria	1289
JK079L-7-WDH_S7	Paracoccaceae	Bacteria	536
JK079L-8_S8	Paracoccaceae	Bacteria	511
JK079L-9_S9	Paracoccaceae	Bacteria	416
JK080L-1_S17	Paracoccaceae	Bacteria	910
JK080L-10_S26	Paracoccaceae	Bacteria	501
JK080L-11_S27	Paracoccaceae	Bacteria	1460
JK080L-12_S28	Paracoccaceae	Bacteria	1022
JK080L-13_S29	Paracoccaceae	Bacteria	1095
JK080L-14_S30	Paracoccaceae	Bacteria	789
JK080L-2_S18	Paracoccaceae	Bacteria	493
JK080L-3_S19	Paracoccaceae	Bacteria	261
JK080L-4_S20	Paracoccaceae	Bacteria	761
JK080L-6_S22	Paracoccaceae	Bacteria	1384
JK080L-7_S23	Paracoccaceae	Bacteria	576
JK080L-8_S24	Paracoccaceae	Bacteria	840
JK080L-9_S25	Paracoccaceae	Bacteria	619
JK081L-1_S1	Paracoccaceae	Bacteria	728
JK081L-10_S10	Paracoccaceae	Bacteria	1
JK081L-11_S11	Paracoccaceae	Bacteria	983
JK081L-12_S12	Paracoccaceae	Bacteria	1377
JK081L-13_S13	Paracoccaceae	Bacteria	479
JK081L-15_S15	Paracoccaceae	Bacteria	1
JK081L-2_S2	Paracoccaceae	Bacteria	575
JK081L-3_S3	Paracoccaceae	Bacteria	284
JK081L-4_S4	Paracoccaceae	Bacteria	993
JK081L-6_S6	Paracoccaceae	Bacteria	1122
JK081L-7_S7	Paracoccaceae	Bacteria	12389
JK081L-8_S8	Paracoccaceae	Bacteria	950
JK081L-9_S9	Paracoccaceae	Bacteria	1363
JK105L-6_S21	Paracoccaceae	Bacteria	1238
JK109L-4_S21	Paracoccaceae	Bacteria	394
JK109L-4_S22	Paracoccaceae	Bacteria	776
JK109L-5_S30	Paracoccaceae	Bacteria	1064
JK109L-6_S31	Paracoccaceae	Bacteria	522
JK115L-2_S24	Paracoccaceae	Bacteria	1435
JK115L-4_S23	Paracoccaceae	Bacteria	1448
JK136L-2_S2	Paracoccaceae	Bacteria	6749
JK136L-3_S3	Paracoccaceae	Bacteria	3554
JK136L-4_S4	Paracoccaceae	Bacteria	3733
JK136L-5_S5	Paracoccaceae	Bacteria	2343
JK136L-6_S6	Paracoccaceae	Bacteria	552
JK136L-7_S7	Paracoccaceae	Bacteria	1732
JK137L-1_S9	Paracoccaceae	Bacteria	604
JK137L-2_S10	Paracoccaceae	Bacteria	1175
JK137L-3_S11	Paracoccaceae	Bacteria	1093
JK137L-4_S12	Paracoccaceae	Bacteria	1053
JK137L-5_S13	Paracoccaceae	Bacteria	1452
JK137L-6_S14	Paracoccaceae	Bacteria	1379
JK137L-7_S15	Paracoccaceae	Bacteria	590
JK138L-1_S17	Paracoccaceae	Bacteria	1103
JK138L-2_S18	Paracoccaceae	Bacteria	19664
JK138L-3_S19	Paracoccaceae	Bacteria	2852
JK138L-4_S20	Paracoccaceae	Bacteria	595
JK138L-6_S22	Paracoccaceae	Bacteria	6741
JK138L-7_S23	Paracoccaceae	Bacteria	8227
JoW001L-1_S1	Paracoccaceae	Bacteria	247
JoW001L-2_S2	Paracoccaceae	Bacteria	3819
JoW001L-3_S3	Paracoccaceae	Bacteria	2363
JoW001L-4_S4	Paracoccaceae	Bacteria	544
JoW001L-5_S5	Paracoccaceae	Bacteria	711
JoW001L-6_S6	Paracoccaceae	Bacteria	466
JoW002L-1_S9	Paracoccaceae	Bacteria	330
JoW002L-2_S10	Paracoccaceae	Bacteria	252
JoW002L-3_S11	Paracoccaceae	Bacteria	1
JoW002L-4_S12	Paracoccaceae	Bacteria	499
JoW002L-5_S13	Paracoccaceae	Bacteria	909
JoW002L-6_S14	Paracoccaceae	Bacteria	305
JoW002L-7_S15	Paracoccaceae	Bacteria	5
JoW002L-8_S16	Paracoccaceae	Bacteria	2
JoW003L-1_S17	Paracoccaceae	Bacteria	554
JoW003L-2_S18	Paracoccaceae	Bacteria	430
JoW003L-3_S19	Paracoccaceae	Bacteria	462
JoW003L-4_S20	Paracoccaceae	Bacteria	714
JoW003L-5_S21	Paracoccaceae	Bacteria	251
JoW003L-6_S22	Paracoccaceae	Bacteria	242
JoW003L-8_S24	Paracoccaceae	Bacteria	3
JoW004L-1_S25	Paracoccaceae	Bacteria	192
JoW004L-2_S26	Paracoccaceae	Bacteria	119
JoW004L-3_S27	Paracoccaceae	Bacteria	321
JoW004L-4_S28	Paracoccaceae	Bacteria	651
JoW004L-5_S29	Paracoccaceae	Bacteria	221
JoW004L-6_S30	Paracoccaceae	Bacteria	571
JoW005L-1_S33	Paracoccaceae	Bacteria	4685
JoW005L-2_S34	Paracoccaceae	Bacteria	11635
JoW005L-3_S35	Paracoccaceae	Bacteria	1406
JoW005L-4_S36	Paracoccaceae	Bacteria	823
JoW007L-1_S1	Paracoccaceae	Bacteria	202
JoW007L-2_S2	Paracoccaceae	Bacteria	516
JoW007L-3_S3	Paracoccaceae	Bacteria	425
JoW007L-4_S4	Paracoccaceae	Bacteria	168
JoW007L-5_S5	Paracoccaceae	Bacteria	1061
JoW007L-6_S6	Paracoccaceae	Bacteria	963
StB097L-01_S1	Paracoccaceae	Bacteria	3382
StB097L-02_S2	Paracoccaceae	Bacteria	2351
StB097L-03_S3	Paracoccaceae	Bacteria	2473
StB097L-04_S4	Paracoccaceae	Bacteria	2572
StB097L-05_S5	Paracoccaceae	Bacteria	2222
StB097L-06_S6	Paracoccaceae	Bacteria	4000
StB097L-07_S7	Paracoccaceae	Bacteria	16
StB097L-08_S8	Paracoccaceae	Bacteria	1
StB106L-01_S9	Paracoccaceae	Bacteria	2785
StB106L-02_S10	Paracoccaceae	Bacteria	2147
StB106L-04_S12	Paracoccaceae	Bacteria	2524
StB106L-05_S13	Paracoccaceae	Bacteria	2541
StB106L-06_S14	Paracoccaceae	Bacteria	1
StB108L-01_S17	Paracoccaceae	Bacteria	1690
StB108L-02_S18	Paracoccaceae	Bacteria	1783
StB108L-03_S19	Paracoccaceae	Bacteria	2218
StB108L-04_S20	Paracoccaceae	Bacteria	3
StB108L-05_S21	Paracoccaceae	Bacteria	1788
StB108L-06_S22	Paracoccaceae	Bacteria	7
StB108L-07_S23	Paracoccaceae	Bacteria	7017
StB108L-08_S24	Paracoccaceae	Bacteria	1
StB109L-01_S25	Paracoccaceae	Bacteria	2231
StB109L-02_S26	Paracoccaceae	Bacteria	2150
StB109L-04_S28	Paracoccaceae	Bacteria	7135
StB109L-05_S29	Paracoccaceae	Bacteria	3429
StB109L-06_S30	Paracoccaceae	Bacteria	4041
StB109L-08_S32	Paracoccaceae	Bacteria	2
WJ192L-1_S29	Paracoccaceae	Bacteria	398
WJ192L-3_S30	Paracoccaceae	Bacteria	292
WJ192L-4_S31	Paracoccaceae	Bacteria	277
WJ192L-5_S32	Paracoccaceae	Bacteria	475
WJ192L-7_S34	Paracoccaceae	Bacteria	4
WJ192L-8_S35	Paracoccaceae	Bacteria	1
WJ194L-2_S22	Paracoccaceae	Bacteria	210
WJ194L-3_S23	Paracoccaceae	Bacteria	220
WJ194L-4_S24	Paracoccaceae	Bacteria	295
WJ194L-5_S25	Paracoccaceae	Bacteria	184
WJ194L-6_S26	Paracoccaceae	Bacteria	289
WJ194L-7_S27	Paracoccaceae	Bacteria	16
WJ195L-1_S17	Paracoccaceae	Bacteria	341
WJ195L-5_S18	Paracoccaceae	Bacteria	145
WJ196L-1_S1	Paracoccaceae	Bacteria	2
WJ196L-10_S10	Paracoccaceae	Bacteria	386
WJ196L-11_S11	Paracoccaceae	Bacteria	581
WJ196L-12_S12	Paracoccaceae	Bacteria	416
