genus	class	phylum
Amycolatopsis	Actinomycetes	Actinomycetota
Mycolicibacillus	Actinomycetes	Actinomycetota
Spirosoma	Cytophagia	Bacteroidota
Glomeribacter	Betaproteobacteria	Pseudomonadota
Periweissella	Bacilli	Bacillota
Acrocarpospora	Actinomycetes	Actinomycetota
Polymorphobacter	Alphaproteobacteria	Pseudomonadota
Bailinhaonella	Actinomycetes	Actinomycetota
Geodermatophilus	Actinomycetes	Actinomycetota
Microbacterium	Actinomycetes	Actinomycetota
Rhodopila	Alphaproteobacteria	Pseudomonadota
Caballeronia	Betaproteobacteria	Pseudomonadota
Bacillus	Bacilli	Bacillota
Chromobacterium	Betaproteobacteria	Pseudomonadota
Halomonas	Gammaproteobacteria	Pseudomonadota
Rhodopseudomonas	Alphaproteobacteria	Pseudomonadota
Pseudoalteromonas	Gammaproteobacteria	Pseudomonadota
Eikenella	Betaproteobacteria	Pseudomonadota
Porticoccus	Gammaproteobacteria	Pseudomonadota
Carnobacterium	Bacilli	Bacillota
Mycolicibacter	Actinomycetes	Actinomycetota
Gordonia	Actinomycetes	Actinomycetota
Rossellomorea	Bacilli	Bacillota
Rhodoblastus	Alphaproteobacteria	Pseudomonadota
Cronobacter	Gammaproteobacteria	Pseudomonadota
Brachybacterium	Actinomycetes	Actinomycetota
Fuscovulum	Alphaproteobacteria	Pseudomonadota
Janthinobacterium	Betaproteobacteria	Pseudomonadota
Phytohabitans	Actinomycetes	Actinomycetota
Methylosinus	Alphaproteobacteria	Pseudomonadota
Glycomyces	Actinomycetes	Actinomycetota
Rhodanobacter	Gammaproteobacteria	Pseudomonadota
Pantoea	Gammaproteobacteria	Pseudomonadota
Thiolapillus	Gammaproteobacteria	Pseudomonadota
Allofranklinella	Betaproteobacteria	Pseudomonadota
Fontimonas	Gammaproteobacteria	Pseudomonadota
Opitutus	Opitutae	Verrucomicrobiota
Dietzia	Actinomycetes	Actinomycetota
Paracoccus	Alphaproteobacteria	Pseudomonadota
Pseudorhodobacter	Alphaproteobacteria	Pseudomonadota
Paenisporosarcina	Bacilli	Bacillota
Serinicoccus	Actinomycetes	Actinomycetota
Herbaspirillum	Betaproteobacteria	Pseudomonadota
Methylovulum	Gammaproteobacteria	Pseudomonadota
Blastochloris	Alphaproteobacteria	Pseudomonadota
Leucobacter	Actinomycetes	Actinomycetota
Afifella	Alphaproteobacteria	Pseudomonadota
Leptolyngbya	Cyanophyceae	Cyanobacteriota
Veronia	Gammaproteobacteria	Pseudomonadota
Neoroseomonas	Alphaproteobacteria	Pseudomonadota
Limimonas	Alphaproteobacteria	Pseudomonadota
Dyadobacter	Cytophagia	Bacteroidota
Lonsdalea	Gammaproteobacteria	Pseudomonadota
Pelagibacterium	Alphaproteobacteria	Pseudomonadota
Rhodospirillum	Alphaproteobacteria	Pseudomonadota
Gluconacetobacter	Alphaproteobacteria	Pseudomonadota
Propioniciclava	Actinomycetes	Actinomycetota
Rhodothalassium	Alphaproteobacteria	Pseudomonadota
Sediminibacterium	Chitinophagia	Bacteroidota
Rhodovibrio	Alphaproteobacteria	Pseudomonadota
Novosphingobium	Alphaproteobacteria	Pseudomonadota
Thermoactinospora	Actinomycetes	Actinomycetota
Dickeya	Gammaproteobacteria	Pseudomonadota
Actinopolyspora	Actinomycetes	Actinomycetota
Salisaeta	Rhodothermia	Rhodothermota
Geminicoccus	Alphaproteobacteria	Pseudomonadota
Nakamurella	Actinomycetes	Actinomycetota
Alishewanella	Gammaproteobacteria	Pseudomonadota
Methylotuvimicrobium	Gammaproteobacteria	Pseudomonadota
Alloalcanivorax	Gammaproteobacteria	Pseudomonadota
Bartonella	Alphaproteobacteria	Pseudomonadota
Demequina	Actinomycetes	Actinomycetota
Methylobacter	Gammaproteobacteria	Pseudomonadota
Devosia	Alphaproteobacteria	Pseudomonadota
Defluviimonas	Alphaproteobacteria	Pseudomonadota
Patulibacter	Thermoleophilia	Actinomycetota
Limnohabitans	Betaproteobacteria	Pseudomonadota
Arthrobacter	Actinomycetes	Actinomycetota
