sample	genus	superkingdom	taxonReads
WJ194L-6_S26	Sphingomonas	Bacteria	473
WJ194L-7_S27	Sphingomonas	Bacteria	27
WJ195L-1_S17	Sphingomonas	Bacteria	532
WJ195L-5_S18	Sphingomonas	Bacteria	222
WJ195L-7_S19	Sphingomonas	Bacteria	5
WJ196L-1_S1	Sphingomonas	Bacteria	10
WJ196L-10_S10	Sphingomonas	Bacteria	295
WJ196L-11_S11	Sphingomonas	Bacteria	994
WJ196L-12_S12	Sphingomonas	Bacteria	619
WJ196L-13_S13	Sphingomonas	Bacteria	990
WJ196L-14_S14	Sphingomonas	Bacteria	743
WJ196L-15_S15	Sphingomonas	Bacteria	687
WJ196L-2_S2	Sphingomonas	Bacteria	8
WJ196L-3_S3	Sphingomonas	Bacteria	11
WJ196L-4_S4	Sphingomonas	Bacteria	110
WJ196L-5_S5	Sphingomonas	Bacteria	125
WJ196L-6_S6	Sphingomonas	Bacteria	299
WJ196L-7_S7	Sphingomonas	Bacteria	199
WJ196L-8_S8	Sphingomonas	Bacteria	218
WJ196L-9_S9	Sphingomonas	Bacteria	298
191011_SND405_A_L007_APMG-6-1	Synechococcus	Bacteria	90
191011_SND405_A_L007_APMG-6-2	Synechococcus	Bacteria	104
191011_SND405_A_L007_APMG-6-3	Synechococcus	Bacteria	345
191011_SND405_A_L007_APMG-6-4	Synechococcus	Bacteria	497
191011_SND405_A_L007_APMG-6-5	Synechococcus	Bacteria	7
191011_SND405_A_L007_APMG-6-6	Synechococcus	Bacteria	49
200313_A00902_A_L001_APMG-8-1	Synechococcus	Bacteria	206
200313_A00902_A_L001_APMG-8-10	Synechococcus	Bacteria	386
200313_A00902_A_L001_APMG-8-11	Synechococcus	Bacteria	204
200313_A00902_A_L001_APMG-8-12	Synechococcus	Bacteria	259
200313_A00902_A_L001_APMG-8-2	Synechococcus	Bacteria	94
200313_A00902_A_L001_APMG-8-3	Synechococcus	Bacteria	132
200313_A00902_A_L001_APMG-8-4	Synechococcus	Bacteria	773
200313_A00902_A_L001_APMG-8-5	Synechococcus	Bacteria	532
200313_A00902_A_L001_APMG-8-6	Synechococcus	Bacteria	308
200313_A00902_A_L001_APMG-8-8	Synechococcus	Bacteria	34
200313_A00902_A_L001_APMG-8-9	Synechococcus	Bacteria	105
200313_A00902_A_L002_APMG-9-1	Synechococcus	Bacteria	192
200313_A00902_A_L002_APMG-9-10	Synechococcus	Bacteria	69
200313_A00902_A_L002_APMG-9-11	Synechococcus	Bacteria	52
200313_A00902_A_L002_APMG-9-2	Synechococcus	Bacteria	150
200313_A00902_A_L002_APMG-9-3	Synechococcus	Bacteria	117
200313_A00902_A_L002_APMG-9-5	Synechococcus	Bacteria	115
200313_A00902_A_L002_APMG-9-6	Synechococcus	Bacteria	94
200313_A00902_A_L002_APMG-9-7	Synechococcus	Bacteria	98
200313_A00902_A_L002_APMG-9-8	Synechococcus	Bacteria	149
200313_A00902_A_L002_APMG-9-9	Synechococcus	Bacteria	52
201118_A00902_B_L1-2_APMG_19_1	Synechococcus	Bacteria	96
201118_A00902_B_L1-2_APMG_19_10	Synechococcus	Bacteria	39
201118_A00902_B_L1-2_APMG_19_11	Synechococcus	Bacteria	60
201118_A00902_B_L1-2_APMG_19_12	Synechococcus	Bacteria	143
201118_A00902_B_L1-2_APMG_19_13	Synechococcus	Bacteria	81
201118_A00902_B_L1-2_APMG_19_14	Synechococcus	Bacteria	75
201118_A00902_B_L1-2_APMG_19_15	Synechococcus	Bacteria	109
201118_A00902_B_L1-2_APMG_19_16	Synechococcus	Bacteria	130
201118_A00902_B_L1-2_APMG_19_17	Synechococcus	Bacteria	85
201118_A00902_B_L1-2_APMG_19_2	Synechococcus	Bacteria	261
201118_A00902_B_L1-2_APMG_19_20	Synechococcus	Bacteria	1
201118_A00902_B_L1-2_APMG_19_3	Synechococcus	Bacteria	94
201118_A00902_B_L1-2_APMG_19_5	Synechococcus	Bacteria	52
201118_A00902_B_L1-2_APMG_19_6	Synechococcus	Bacteria	20
201118_A00902_B_L1-2_APMG_19_7	Synechococcus	Bacteria	66
201118_A00902_B_L1-2_APMG_19_8	Synechococcus	Bacteria	67
201118_A00902_B_L1-2_APMG_19_9	Synechococcus	Bacteria	45
210810_A00902_B_L001_APMG-37-1	Synechococcus	Bacteria	221
210810_A00902_B_L001_APMG-37-10	Synechococcus	Bacteria	83
210810_A00902_B_L001_APMG-37-11	Synechococcus	Bacteria	39
210810_A00902_B_L001_APMG-37-2	Synechococcus	Bacteria	366
210810_A00902_B_L001_APMG-37-3	Synechococcus	Bacteria	309
210810_A00902_B_L001_APMG-37-4	Synechococcus	Bacteria	107
210810_A00902_B_L001_APMG-37-5	Synechococcus	Bacteria	1
210810_A00902_B_L001_APMG-37-6	Synechococcus	Bacteria	63
210810_A00902_B_L001_APMG-37-7	Synechococcus	Bacteria	102
210810_A00902_B_L001_APMG-37-8	Synechococcus	Bacteria	80
210810_A00902_B_L001_APMG-37-9	Synechococcus	Bacteria	100
210810_A00902_B_L002_APMG-38-1	Synechococcus	Bacteria	96
210810_A00902_B_L002_APMG-38-10	Synechococcus	Bacteria	234
210810_A00902_B_L002_APMG-38-15	Synechococcus	Bacteria	66
210810_A00902_B_L002_APMG-38-2	Synechococcus	Bacteria	104
210810_A00902_B_L002_APMG-38-3	Synechococcus	Bacteria	206
210810_A00902_B_L002_APMG-38-4	Synechococcus	Bacteria	154
210810_A00902_B_L002_APMG-38-5	Synechococcus	Bacteria	169
210810_A00902_B_L002_APMG-38-7	Synechococcus	Bacteria	96
210810_A00902_B_L002_APMG-38-8	Synechococcus	Bacteria	129
210810_A00902_B_L002_APMG-38-9	Synechococcus	Bacteria	313
BH193L-1_S22	Synechococcus	Bacteria	162
BH193L-2_S19	Synechococcus	Bacteria	260
BH193L-2_S20	Synechococcus	Bacteria	182
BH193L-3_S20	Synechococcus	Bacteria	466
BH193L-4_S23	Synechococcus	Bacteria	290
BH193L-5_S24	Synechococcus	Bacteria	201
BH194L-1_S25	Synechococcus	Bacteria	128
BH194L-2_S26	Synechococcus	Bacteria	80
BH194L-3_S25	Synechococcus	Bacteria	70
BH194L-4_S16	Synechococcus	Bacteria	157
BH194L-4_S17	Synechococcus	Bacteria	87
BH194L-6_S26	Synechococcus	Bacteria	129
BH194L-7_S17	Synechococcus	Bacteria	163
BH194L-7_S18	Synechococcus	Bacteria	122
BH195L-1_S27	Synechococcus	Bacteria	156
BH195L-2_S18	Synechococcus	Bacteria	189
BH195L-2_S19	Synechococcus	Bacteria	96
BH195L-3_S28	Synechococcus	Bacteria	135
BH195L-4_S29	Synechococcus	Bacteria	133
ELS162S7	Synechococcus	Bacteria	314
ELS163S8	Synechococcus	Bacteria	138
ELS165S9	Synechococcus	Bacteria	95
ELS167S10	Synechococcus	Bacteria	170
IE111L-1_S1	Synechococcus	Bacteria	134
IE111L-2_S2	Synechococcus	Bacteria	127
IE111L-3_S3	Synechococcus	Bacteria	140
IE111L-4_S1	Synechococcus	Bacteria	107
IE111L-5_S5	Synechococcus	Bacteria	516
IE111L-6_S6	Synechococcus	Bacteria	160
IE111L-7_S7	Synechococcus	Bacteria	73
IE112L-1_S9	Synechococcus	Bacteria	147
IE112L-2_S10	Synechococcus	Bacteria	65
IE112L-3_S11	Synechococcus	Bacteria	63
IE112L-4_S17	Synechococcus	Bacteria	134
IE112L-5_S18	Synechococcus	Bacteria	160
IE112L-6_S19	Synechococcus	Bacteria	130
IE112L-7_S12	Synechococcus	Bacteria	78
IE113L-1_S13	Synechococcus	Bacteria	520
IE113L-2_S14	Synechococcus	Bacteria	181
IE113L-3_S3	Synechococcus	Bacteria	219
IE113L-4_S4	Synechococcus	Bacteria	186
IE113L-5_S5	Synechococcus	Bacteria	214
IE113L-6_S6	Synechococcus	Bacteria	166
IE113L-7_S7	Synechococcus	Bacteria	223
IE114L-1_S9	Synechococcus	Bacteria	153
IE114L-2_S10	Synechococcus	Bacteria	166
IE114L-3_S11	Synechococcus	Bacteria	266
JK079L-1_S1	Synechococcus	Bacteria	43
JK079L-10-WDH_S10	Synechococcus	Bacteria	63
JK079L-11-WDH_S11	Synechococcus	Bacteria	32
JK079L-12-WDH_S12	Synechococcus	Bacteria	31
JK079L-13-WDH_S13	Synechococcus	Bacteria	61
JK079L-14-WDH_S14	Synechococcus	Bacteria	110
JK079L-2_S2	Synechococcus	Bacteria	140
JK079L-3_S3	Synechococcus	Bacteria	67
JK079L-4_S4	Synechococcus	Bacteria	33
JK079L-5_S5	Synechococcus	Bacteria	128
JK079L-6-WDH_S6	Synechococcus	Bacteria	106
JK079L-7-WDH_S7	Synechococcus	Bacteria	39
JK079L-8_S8	Synechococcus	Bacteria	159
JK079L-9_S9	Synechococcus	Bacteria	41
JK080L-1_S17	Synechococcus	Bacteria	35
JK080L-10_S26	Synechococcus	Bacteria	41
JK080L-11_S27	Synechococcus	Bacteria	99
JK080L-12_S28	Synechococcus	Bacteria	67
JK080L-13_S29	Synechococcus	Bacteria	138
JK080L-14_S30	Synechococcus	Bacteria	64
JK080L-2_S18	Synechococcus	Bacteria	38
JK080L-3_S19	Synechococcus	Bacteria	11
JK080L-4_S20	Synechococcus	Bacteria	39
JK080L-6_S22	Synechococcus	Bacteria	63
JK080L-7_S23	Synechococcus	Bacteria	93
JK080L-8_S24	Synechococcus	Bacteria	60
JK080L-9_S25	Synechococcus	Bacteria	75
JK081L-1_S1	Synechococcus	Bacteria	746
JK081L-11_S11	Synechococcus	Bacteria	81
JK081L-12_S12	Synechococcus	Bacteria	131
JK081L-13_S13	Synechococcus	Bacteria	27
JK081L-2_S2	Synechococcus	Bacteria	220
JK081L-3_S3	Synechococcus	Bacteria	107
JK081L-4_S4	Synechococcus	Bacteria	107
JK081L-6_S6	Synechococcus	Bacteria	103
JK081L-7_S7	Synechococcus	Bacteria	84
JK081L-8_S8	Synechococcus	Bacteria	71
JK081L-9_S9	Synechococcus	Bacteria	56
JK105L-6_S21	Synechococcus	Bacteria	1176
JK109L-4_S21	Synechococcus	Bacteria	145
JK109L-4_S22	Synechococcus	Bacteria	263
JK109L-5_S30	Synechococcus	Bacteria	159
JK109L-6_S31	Synechococcus	Bacteria	130
JK115L-2_S24	Synechococcus	Bacteria	170
JK115L-4_S23	Synechococcus	Bacteria	157
JK136L-2_S2	Synechococcus	Bacteria	162
JK136L-3_S3	Synechococcus	Bacteria	97
JK136L-4_S4	Synechococcus	Bacteria	405
JK136L-5_S5	Synechococcus	Bacteria	485
JK136L-6_S6	Synechococcus	Bacteria	113
JK136L-7_S7	Synechococcus	Bacteria	35
JK137L-1_S9	Synechococcus	Bacteria	26
JK137L-2_S10	Synechococcus	Bacteria	20
JK137L-3_S11	Synechococcus	Bacteria	33
JK137L-4_S12	Synechococcus	Bacteria	72
JK137L-5_S13	Synechococcus	Bacteria	30
JK137L-6_S14	Synechococcus	Bacteria	32
JK137L-7_S15	Synechococcus	Bacteria	22
JK138L-1_S17	Synechococcus	Bacteria	39
JK138L-2_S18	Synechococcus	Bacteria	61
JK138L-3_S19	Synechococcus	Bacteria	144
JK138L-4_S20	Synechococcus	Bacteria	295
JK138L-6_S22	Synechococcus	Bacteria	96
JK138L-7_S23	Synechococcus	Bacteria	94
JoW001L-1_S1	Synechococcus	Bacteria	43
JoW001L-2_S2	Synechococcus	Bacteria	76
JoW001L-3_S3	Synechococcus	Bacteria	42
JoW001L-4_S4	Synechococcus	Bacteria	21
JoW001L-5_S5	Synechococcus	Bacteria	36
JoW001L-6_S6	Synechococcus	Bacteria	22
JoW002L-1_S9	Synechococcus	Bacteria	9
JoW002L-2_S10	Synechococcus	Bacteria	2
JoW002L-4_S12	Synechococcus	Bacteria	11
JoW002L-5_S13	Synechococcus	Bacteria	25
JoW002L-6_S14	Synechococcus	Bacteria	31
JoW003L-1_S17	Synechococcus	Bacteria	9
JoW003L-2_S18	Synechococcus	Bacteria	9
JoW003L-3_S19	Synechococcus	Bacteria	9
JoW003L-4_S20	Synechococcus	Bacteria	18
JoW003L-5_S21	Synechococcus	Bacteria	10
JoW003L-6_S22	Synechococcus	Bacteria	1
JoW004L-1_S25	Synechococcus	Bacteria	3
JoW004L-2_S26	Synechococcus	Bacteria	8
JoW004L-3_S27	Synechococcus	Bacteria	11
JoW004L-4_S28	Synechococcus	Bacteria	47
JoW004L-5_S29	Synechococcus	Bacteria	11
JoW004L-6_S30	Synechococcus	Bacteria	340
JoW005L-1_S33	Synechococcus	Bacteria	96
JoW005L-2_S34	Synechococcus	Bacteria	99
JoW005L-3_S35	Synechococcus	Bacteria	19
JoW005L-4_S36	Synechococcus	Bacteria	16
JoW007L-1_S1	Synechococcus	Bacteria	5
JoW007L-2_S2	Synechococcus	Bacteria	27
JoW007L-3_S3	Synechococcus	Bacteria	11
JoW007L-4_S4	Synechococcus	Bacteria	6
JoW007L-5_S5	Synechococcus	Bacteria	8
JoW007L-6_S6	Synechococcus	Bacteria	41
StB097L-01_S1	Synechococcus	Bacteria	3420
StB097L-02_S2	Synechococcus	Bacteria	750
StB097L-03_S3	Synechococcus	Bacteria	716
StB097L-04_S4	Synechococcus	Bacteria	91
StB097L-05_S5	Synechococcus	Bacteria	163
StB097L-06_S6	Synechococcus	Bacteria	87
StB106L-01_S9	Synechococcus	Bacteria	62
StB106L-02_S10	Synechococcus	Bacteria	155
StB106L-04_S12	Synechococcus	Bacteria	62
StB106L-05_S13	Synechococcus	Bacteria	555
StB108L-01_S17	Synechococcus	Bacteria	94
StB108L-02_S18	Synechococcus	Bacteria	44
StB108L-03_S19	Synechococcus	Bacteria	97
StB108L-05_S21	Synechococcus	Bacteria	36
StB108L-07_S23	Synechococcus	Bacteria	75
StB109L-01_S25	Synechococcus	Bacteria	103
StB109L-02_S26	Synechococcus	Bacteria	129
StB109L-04_S28	Synechococcus	Bacteria	30
StB109L-05_S29	Synechococcus	Bacteria	88
StB109L-06_S30	Synechococcus	Bacteria	130
WJ192L-1_S29	Synechococcus	Bacteria	210
WJ192L-3_S30	Synechococcus	Bacteria	40
WJ192L-4_S31	Synechococcus	Bacteria	33
WJ192L-5_S32	Synechococcus	Bacteria	59
WJ194L-2_S22	Synechococcus	Bacteria	730
WJ194L-3_S23	Synechococcus	Bacteria	37
WJ194L-4_S24	Synechococcus	Bacteria	44
WJ194L-5_S25	Synechococcus	Bacteria	36
WJ194L-6_S26	Synechococcus	Bacteria	39
WJ195L-1_S17	Synechococcus	Bacteria	45
WJ195L-5_S18	Synechococcus	Bacteria	27
WJ196L-10_S10	Synechococcus	Bacteria	493
WJ196L-11_S11	Synechococcus	Bacteria	121
WJ196L-12_S12	Synechococcus	Bacteria	128
WJ196L-13_S13	Synechococcus	Bacteria	50
WJ196L-14_S14	Synechococcus	Bacteria	58
WJ196L-15_S15	Synechococcus	Bacteria	26
WJ196L-4_S4	Synechococcus	Bacteria	1038
WJ196L-5_S5	Synechococcus	Bacteria	211
WJ196L-6_S6	Synechococcus	Bacteria	114
WJ196L-7_S7	Synechococcus	Bacteria	324
WJ196L-8_S8	Synechococcus	Bacteria	461
WJ196L-9_S9	Synechococcus	Bacteria	1417
191011_SND405_A_L007_APMG-6-1	Micromonas	Eukaryota	7
191011_SND405_A_L007_APMG-6-2	Micromonas	Eukaryota	15
191011_SND405_A_L007_APMG-6-3	Micromonas	Eukaryota	22
191011_SND405_A_L007_APMG-6-4	Micromonas	Eukaryota	85
191011_SND405_A_L007_APMG-6-5	Micromonas	Eukaryota	2
191011_SND405_A_L007_APMG-6-6	Micromonas	Eukaryota	5
200313_A00902_A_L001_APMG-8-1	Micromonas	Eukaryota	43
200313_A00902_A_L001_APMG-8-10	Micromonas	Eukaryota	24
200313_A00902_A_L001_APMG-8-11	Micromonas	Eukaryota	17
200313_A00902_A_L001_APMG-8-12	Micromonas	Eukaryota	11
200313_A00902_A_L001_APMG-8-2	Micromonas	Eukaryota	22
200313_A00902_A_L001_APMG-8-3	Micromonas	Eukaryota	61
200313_A00902_A_L001_APMG-8-4	Micromonas	Eukaryota	81
200313_A00902_A_L001_APMG-8-5	Micromonas	Eukaryota	51
200313_A00902_A_L001_APMG-8-6	Micromonas	Eukaryota	17
200313_A00902_A_L001_APMG-8-9	Micromonas	Eukaryota	10
200313_A00902_A_L002_APMG-9-1	Micromonas	Eukaryota	20
200313_A00902_A_L002_APMG-9-10	Micromonas	Eukaryota	6
200313_A00902_A_L002_APMG-9-11	Micromonas	Eukaryota	4
200313_A00902_A_L002_APMG-9-2	Micromonas	Eukaryota	10
200313_A00902_A_L002_APMG-9-3	Micromonas	Eukaryota	10
200313_A00902_A_L002_APMG-9-5	Micromonas	Eukaryota	10
200313_A00902_A_L002_APMG-9-6	Micromonas	Eukaryota	6
200313_A00902_A_L002_APMG-9-7	Micromonas	Eukaryota	5
200313_A00902_A_L002_APMG-9-8	Micromonas	Eukaryota	2
200313_A00902_A_L002_APMG-9-9	Micromonas	Eukaryota	7
201118_A00902_B_L1-2_APMG_19_1	Micromonas	Eukaryota	5
201118_A00902_B_L1-2_APMG_19_11	Micromonas	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_12	Micromonas	Eukaryota	12
201118_A00902_B_L1-2_APMG_19_13	Micromonas	Eukaryota	3
201118_A00902_B_L1-2_APMG_19_14	Micromonas	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_15	Micromonas	Eukaryota	6
201118_A00902_B_L1-2_APMG_19_16	Micromonas	Eukaryota	5
201118_A00902_B_L1-2_APMG_19_17	Micromonas	Eukaryota	3
201118_A00902_B_L1-2_APMG_19_2	Micromonas	Eukaryota	11
201118_A00902_B_L1-2_APMG_19_3	Micromonas	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_5	Micromonas	Eukaryota	3
201118_A00902_B_L1-2_APMG_19_6	Micromonas	Eukaryota	3
201118_A00902_B_L1-2_APMG_19_7	Micromonas	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_8	Micromonas	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_9	Micromonas	Eukaryota	1
210810_A00902_B_L001_APMG-37-1	Micromonas	Eukaryota	3
210810_A00902_B_L001_APMG-37-10	Micromonas	Eukaryota	2
210810_A00902_B_L001_APMG-37-11	Micromonas	Eukaryota	1
210810_A00902_B_L001_APMG-37-2	Micromonas	Eukaryota	2
210810_A00902_B_L001_APMG-37-4	Micromonas	Eukaryota	2
210810_A00902_B_L001_APMG-37-7	Micromonas	Eukaryota	6
210810_A00902_B_L001_APMG-37-8	Micromonas	Eukaryota	3
210810_A00902_B_L001_APMG-37-9	Micromonas	Eukaryota	7
210810_A00902_B_L002_APMG-38-1	Micromonas	Eukaryota	2
210810_A00902_B_L002_APMG-38-10	Micromonas	Eukaryota	6
210810_A00902_B_L002_APMG-38-2	Micromonas	Eukaryota	2
210810_A00902_B_L002_APMG-38-3	Micromonas	Eukaryota	1
210810_A00902_B_L002_APMG-38-4	Micromonas	Eukaryota	1
210810_A00902_B_L002_APMG-38-5	Micromonas	Eukaryota	4
210810_A00902_B_L002_APMG-38-7	Micromonas	Eukaryota	1
210810_A00902_B_L002_APMG-38-8	Micromonas	Eukaryota	5
210810_A00902_B_L002_APMG-38-9	Micromonas	Eukaryota	1
BH193L-1_S22	Micromonas	Eukaryota	3
BH193L-2_S19	Micromonas	Eukaryota	5
BH193L-2_S20	Micromonas	Eukaryota	1
BH193L-3_S20	Micromonas	Eukaryota	7
BH193L-4_S23	Micromonas	Eukaryota	4
BH193L-5_S24	Micromonas	Eukaryota	1
BH194L-1_S25	Micromonas	Eukaryota	1
BH194L-3_S25	Micromonas	Eukaryota	2
BH194L-4_S17	Micromonas	Eukaryota	1
BH194L-6_S26	Micromonas	Eukaryota	3
BH194L-7_S17	Micromonas	Eukaryota	3
BH194L-7_S18	Micromonas	Eukaryota	3
BH195L-1_S27	Micromonas	Eukaryota	3
BH195L-2_S18	Micromonas	Eukaryota	3
BH195L-2_S19	Micromonas	Eukaryota	3
BH195L-3_S28	Micromonas	Eukaryota	4
BH195L-4_S29	Micromonas	Eukaryota	1
ELS162S7	Micromonas	Eukaryota	2
ELS163S8	Micromonas	Eukaryota	7
ELS165S9	Micromonas	Eukaryota	52
ELS167S10	Micromonas	Eukaryota	56
IE111L-1_S1	Micromonas	Eukaryota	28
IE111L-2_S2	Micromonas	Eukaryota	41
IE111L-3_S3	Micromonas	Eukaryota	53
IE111L-4_S1	Micromonas	Eukaryota	21
IE111L-5_S5	Micromonas	Eukaryota	16
IE111L-6_S6	Micromonas	Eukaryota	2
IE111L-7_S7	Micromonas	Eukaryota	6
IE112L-1_S9	Micromonas	Eukaryota	8
IE112L-2_S10	Micromonas	Eukaryota	13
IE112L-3_S11	Micromonas	Eukaryota	18
IE112L-4_S17	Micromonas	Eukaryota	64
IE112L-5_S18	Micromonas	Eukaryota	24
IE112L-6_S19	Micromonas	Eukaryota	13
IE112L-7_S12	Micromonas	Eukaryota	113
IE113L-1_S13	Micromonas	Eukaryota	37
IE113L-2_S14	Micromonas	Eukaryota	19
IE113L-3_S3	Micromonas	Eukaryota	23
IE113L-4_S4	Micromonas	Eukaryota	175
IE113L-5_S5	Micromonas	Eukaryota	27
IE113L-6_S6	Micromonas	Eukaryota	27
IE113L-7_S7	Micromonas	Eukaryota	15
IE114L-1_S9	Micromonas	Eukaryota	15
IE114L-2_S10	Micromonas	Eukaryota	23
IE114L-3_S11	Micromonas	Eukaryota	12
JK079L-1_S1	Micromonas	Eukaryota	3
JK079L-10-WDH_S10	Micromonas	Eukaryota	4
JK079L-12-WDH_S12	Micromonas	Eukaryota	2
JK079L-13-WDH_S13	Micromonas	Eukaryota	4
JK079L-4_S4	Micromonas	Eukaryota	1
JK079L-5_S5	Micromonas	Eukaryota	1
JK079L-6-WDH_S6	Micromonas	Eukaryota	1
JK079L-7-WDH_S7	Micromonas	Eukaryota	4
JK079L-8_S8	Micromonas	Eukaryota	2
JK079L-9_S9	Micromonas	Eukaryota	1
JK080L-10_S26	Micromonas	Eukaryota	4
JK080L-11_S27	Micromonas	Eukaryota	4
JK080L-12_S28	Micromonas	Eukaryota	4
JK080L-14_S30	Micromonas	Eukaryota	2
JK080L-2_S18	Micromonas	Eukaryota	1
JK080L-4_S20	Micromonas	Eukaryota	2
JK080L-6_S22	Micromonas	Eukaryota	2
JK080L-7_S23	Micromonas	Eukaryota	1
JK080L-8_S24	Micromonas	Eukaryota	7
JK080L-9_S25	Micromonas	Eukaryota	1
JK081L-1_S1	Micromonas	Eukaryota	1
JK081L-11_S11	Micromonas	Eukaryota	3
JK081L-12_S12	Micromonas	Eukaryota	5
JK081L-2_S2	Micromonas	Eukaryota	7
JK081L-4_S4	Micromonas	Eukaryota	1
JK081L-6_S6	Micromonas	Eukaryota	5
JK081L-7_S7	Micromonas	Eukaryota	10
JK081L-8_S8	Micromonas	Eukaryota	3
JK081L-9_S9	Micromonas	Eukaryota	2
JK105L-6_S21	Micromonas	Eukaryota	4
JK109L-4_S21	Micromonas	Eukaryota	1
JK109L-4_S22	Micromonas	Eukaryota	4
JK109L-5_S30	Micromonas	Eukaryota	2
JK109L-6_S31	Micromonas	Eukaryota	2
JK115L-2_S24	Micromonas	Eukaryota	12
JK115L-4_S23	Micromonas	Eukaryota	5
JK136L-2_S2	Micromonas	Eukaryota	7
JK136L-3_S3	Micromonas	Eukaryota	6
JK136L-4_S4	Micromonas	Eukaryota	61
JK136L-5_S5	Micromonas	Eukaryota	17
JK136L-6_S6	Micromonas	Eukaryota	7
JK136L-7_S7	Micromonas	Eukaryota	39
JK137L-1_S9	Micromonas	Eukaryota	17
JK137L-2_S10	Micromonas	Eukaryota	7
JK137L-3_S11	Micromonas	Eukaryota	29
JK137L-4_S12	Micromonas	Eukaryota	50
JK137L-5_S13	Micromonas	Eukaryota	14
JK137L-6_S14	Micromonas	Eukaryota	35
JK137L-7_S15	Micromonas	Eukaryota	127
JK138L-1_S17	Micromonas	Eukaryota	36
JK138L-2_S18	Micromonas	Eukaryota	52
JK138L-3_S19	Micromonas	Eukaryota	106
JK138L-4_S20	Micromonas	Eukaryota	184
JK138L-6_S22	Micromonas	Eukaryota	23
JK138L-7_S23	Micromonas	Eukaryota	20
JoW001L-1_S1	Micromonas	Eukaryota	98
JoW001L-2_S2	Micromonas	Eukaryota	6
JoW001L-3_S3	Micromonas	Eukaryota	154
JoW001L-4_S4	Micromonas	Eukaryota	95
JoW001L-5_S5	Micromonas	Eukaryota	49
JoW001L-6_S6	Micromonas	Eukaryota	60
JoW002L-1_S9	Micromonas	Eukaryota	24
JoW002L-2_S10	Micromonas	Eukaryota	35
JoW002L-4_S12	Micromonas	Eukaryota	15
JoW002L-5_S13	Micromonas	Eukaryota	12
JoW002L-6_S14	Micromonas	Eukaryota	31
JoW003L-1_S17	Micromonas	Eukaryota	18
JoW003L-2_S18	Micromonas	Eukaryota	6
JoW003L-3_S19	Micromonas	Eukaryota	2
JoW003L-4_S20	Micromonas	Eukaryota	2
JoW003L-5_S21	Micromonas	Eukaryota	6
JoW003L-6_S22	Micromonas	Eukaryota	8
JoW004L-1_S25	Micromonas	Eukaryota	3
JoW004L-3_S27	Micromonas	Eukaryota	2
JoW004L-4_S28	Micromonas	Eukaryota	2
JoW004L-5_S29	Micromonas	Eukaryota	4
JoW004L-6_S30	Micromonas	Eukaryota	2
JoW005L-1_S33	Micromonas	Eukaryota	3
JoW005L-2_S34	Micromonas	Eukaryota	105
JoW005L-3_S35	Micromonas	Eukaryota	56
JoW005L-4_S36	Micromonas	Eukaryota	48
JoW007L-1_S1	Micromonas	Eukaryota	4
JoW007L-2_S2	Micromonas	Eukaryota	8
JoW007L-3_S3	Micromonas	Eukaryota	14
JoW007L-4_S4	Micromonas	Eukaryota	15
JoW007L-5_S5	Micromonas	Eukaryota	9
JoW007L-6_S6	Micromonas	Eukaryota	74
StB097L-01_S1	Micromonas	Eukaryota	54
StB097L-02_S2	Micromonas	Eukaryota	26
StB097L-03_S3	Micromonas	Eukaryota	49
StB097L-04_S4	Micromonas	Eukaryota	34
StB097L-05_S5	Micromonas	Eukaryota	110
StB097L-06_S6	Micromonas	Eukaryota	31
StB106L-01_S9	Micromonas	Eukaryota	2
StB106L-02_S10	Micromonas	Eukaryota	8
StB106L-04_S12	Micromonas	Eukaryota	4
StB106L-05_S13	Micromonas	Eukaryota	17
StB108L-01_S17	Micromonas	Eukaryota	22
StB108L-02_S18	Micromonas	Eukaryota	17
StB108L-03_S19	Micromonas	Eukaryota	46
StB108L-05_S21	Micromonas	Eukaryota	8
StB108L-07_S23	Micromonas	Eukaryota	24
StB109L-01_S25	Micromonas	Eukaryota	81
StB109L-02_S26	Micromonas	Eukaryota	213
StB109L-04_S28	Micromonas	Eukaryota	34
StB109L-05_S29	Micromonas	Eukaryota	30
StB109L-06_S30	Micromonas	Eukaryota	12
WJ192L-1_S29	Micromonas	Eukaryota	1
WJ192L-3_S30	Micromonas	Eukaryota	1
WJ192L-5_S32	Micromonas	Eukaryota	1
WJ194L-2_S22	Micromonas	Eukaryota	5
WJ194L-4_S24	Micromonas	Eukaryota	3
WJ194L-5_S25	Micromonas	Eukaryota	2
WJ194L-6_S26	Micromonas	Eukaryota	1
WJ195L-1_S17	Micromonas	Eukaryota	1
WJ196L-10_S10	Micromonas	Eukaryota	8
WJ196L-11_S11	Micromonas	Eukaryota	2
WJ196L-12_S12	Micromonas	Eukaryota	1
WJ196L-13_S13	Micromonas	Eukaryota	2
WJ196L-15_S15	Micromonas	Eukaryota	1
WJ196L-4_S4	Micromonas	Eukaryota	3
WJ196L-6_S6	Micromonas	Eukaryota	3
WJ196L-7_S7	Micromonas	Eukaryota	9
WJ196L-8_S8	Micromonas	Eukaryota	4
WJ196L-9_S9	Micromonas	Eukaryota	32
