sample	superkingdom	taxonReads
StB108L-01_S17	Eukaryota	21293
StB108L-02_S18	Eukaryota	22246
StB108L-03_S19	Eukaryota	27387
StB108L-04_S20	Eukaryota	157
StB108L-05_S21	Eukaryota	9422
StB108L-06_S22	Eukaryota	230
StB108L-07_S23	Eukaryota	30398
StB108L-08_S24	Eukaryota	180
StB109L-01_S25	Eukaryota	69248
StB109L-02_S26	Eukaryota	84136
StB109L-03_S27	Eukaryota	2
StB109L-04_S28	Eukaryota	74501
StB109L-05_S29	Eukaryota	57383
StB109L-06_S30	Eukaryota	29107
StB109L-07_S31	Eukaryota	836
StB109L-08_S32	Eukaryota	337
WJ192L-1_S29	Eukaryota	196647
WJ192L-3_S30	Eukaryota	325520
WJ192L-4_S31	Eukaryota	423373
WJ192L-5_S32	Eukaryota	827277
WJ192L-6_S33	Eukaryota	188
WJ192L-7_S34	Eukaryota	409
WJ192L-8_S35	Eukaryota	17
WJ194L-1_S21	Eukaryota	64
WJ194L-2_S22	Eukaryota	98109
WJ194L-3_S23	Eukaryota	326588
WJ194L-4_S24	Eukaryota	446318
WJ194L-5_S25	Eukaryota	297681
WJ194L-6_S26	Eukaryota	373274
WJ194L-7_S27	Eukaryota	799
WJ194L-8_S28	Eukaryota	70
WJ195L-1_S17	Eukaryota	449787
WJ195L-5_S18	Eukaryota	172441
WJ195L-7_S19	Eukaryota	44
WJ195L-8_S20	Eukaryota	13
WJ196L-1_S1	Eukaryota	537
WJ196L-10_S10	Eukaryota	57498
WJ196L-11_S11	Eukaryota	1176803
WJ196L-12_S12	Eukaryota	661133
WJ196L-13_S13	Eukaryota	493245
WJ196L-14_S14	Eukaryota	650695
WJ196L-15_S15	Eukaryota	723089
WJ196L-16_S16	Eukaryota	50
WJ196L-2_S2	Eukaryota	89
WJ196L-3_S3	Eukaryota	227
WJ196L-4_S4	Eukaryota	18516
WJ196L-5_S5	Eukaryota	16045
WJ196L-6_S6	Eukaryota	22836
WJ196L-7_S7	Eukaryota	30050
WJ196L-8_S8	Eukaryota	41779
WJ196L-9_S9	Eukaryota	33376
191011_SND405_A_L007_APMG-6-1	Viruses	350
191011_SND405_A_L007_APMG-6-2	Viruses	628
191011_SND405_A_L007_APMG-6-3	Viruses	1338
191011_SND405_A_L007_APMG-6-4	Viruses	1649
191011_SND405_A_L007_APMG-6-5	Viruses	25
191011_SND405_A_L007_APMG-6-6	Viruses	187
191011_SND405_A_L007_APMG-6-8	Viruses	1
200313_A00902_A_L001_APMG-8-1	Viruses	1031
200313_A00902_A_L001_APMG-8-10	Viruses	1228
200313_A00902_A_L001_APMG-8-11	Viruses	661
200313_A00902_A_L001_APMG-8-12	Viruses	913
200313_A00902_A_L001_APMG-8-2	Viruses	1172
200313_A00902_A_L001_APMG-8-3	Viruses	1184
200313_A00902_A_L001_APMG-8-4	Viruses	3559
200313_A00902_A_L001_APMG-8-5	Viruses	2231
200313_A00902_A_L001_APMG-8-6	Viruses	505
200313_A00902_A_L001_APMG-8-7	Viruses	2
200313_A00902_A_L001_APMG-8-8	Viruses	117
200313_A00902_A_L001_APMG-8-9	Viruses	420
200313_A00902_A_L002_APMG-9-1	Viruses	505
200313_A00902_A_L002_APMG-9-10	Viruses	767
200313_A00902_A_L002_APMG-9-11	Viruses	506
200313_A00902_A_L002_APMG-9-12	Viruses	1
200313_A00902_A_L002_APMG-9-13	Viruses	4
200313_A00902_A_L002_APMG-9-2	Viruses	436
200313_A00902_A_L002_APMG-9-3	Viruses	394
200313_A00902_A_L002_APMG-9-5	Viruses	452
200313_A00902_A_L002_APMG-9-6	Viruses	337
200313_A00902_A_L002_APMG-9-7	Viruses	396
200313_A00902_A_L002_APMG-9-8	Viruses	669
200313_A00902_A_L002_APMG-9-9	Viruses	406
201118_A00902_B_L1-2_APMG_19_1	Viruses	190
201118_A00902_B_L1-2_APMG_19_10	Viruses	325
201118_A00902_B_L1-2_APMG_19_11	Viruses	202
201118_A00902_B_L1-2_APMG_19_12	Viruses	1596
201118_A00902_B_L1-2_APMG_19_13	Viruses	60
201118_A00902_B_L1-2_APMG_19_14	Viruses	24
201118_A00902_B_L1-2_APMG_19_15	Viruses	191
201118_A00902_B_L1-2_APMG_19_16	Viruses	341
201118_A00902_B_L1-2_APMG_19_17	Viruses	147
201118_A00902_B_L1-2_APMG_19_18	Viruses	4
201118_A00902_B_L1-2_APMG_19_19	Viruses	1
201118_A00902_B_L1-2_APMG_19_2	Viruses	127
201118_A00902_B_L1-2_APMG_19_20	Viruses	1
201118_A00902_B_L1-2_APMG_19_21	Viruses	1
201118_A00902_B_L1-2_APMG_19_22	Viruses	3
201118_A00902_B_L1-2_APMG_19_3	Viruses	314
201118_A00902_B_L1-2_APMG_19_5	Viruses	591
201118_A00902_B_L1-2_APMG_19_6	Viruses	1868
201118_A00902_B_L1-2_APMG_19_7	Viruses	122
201118_A00902_B_L1-2_APMG_19_8	Viruses	665
201118_A00902_B_L1-2_APMG_19_9	Viruses	152
210810_A00902_B_L001_APMG-37-1	Viruses	679
210810_A00902_B_L001_APMG-37-10	Viruses	108
210810_A00902_B_L001_APMG-37-11	Viruses	83
210810_A00902_B_L001_APMG-37-12	Viruses	1
210810_A00902_B_L001_APMG-37-13	Viruses	1
210810_A00902_B_L001_APMG-37-14	Viruses	1
210810_A00902_B_L001_APMG-37-15	Viruses	3
210810_A00902_B_L001_APMG-37-2	Viruses	1306
210810_A00902_B_L001_APMG-37-3	Viruses	278
210810_A00902_B_L001_APMG-37-4	Viruses	332
210810_A00902_B_L001_APMG-37-6	Viruses	48
210810_A00902_B_L001_APMG-37-7	Viruses	126
210810_A00902_B_L001_APMG-37-8	Viruses	40
210810_A00902_B_L001_APMG-37-9	Viruses	125
210810_A00902_B_L002_APMG-38-1	Viruses	106
210810_A00902_B_L002_APMG-38-10	Viruses	225
210810_A00902_B_L002_APMG-38-11	Viruses	1
210810_A00902_B_L002_APMG-38-12	Viruses	2
210810_A00902_B_L002_APMG-38-13	Viruses	5
210810_A00902_B_L002_APMG-38-15	Viruses	108
210810_A00902_B_L002_APMG-38-2	Viruses	114
210810_A00902_B_L002_APMG-38-3	Viruses	226
210810_A00902_B_L002_APMG-38-4	Viruses	297
210810_A00902_B_L002_APMG-38-5	Viruses	234
210810_A00902_B_L002_APMG-38-6	Viruses	1
210810_A00902_B_L002_APMG-38-7	Viruses	185
210810_A00902_B_L002_APMG-38-8	Viruses	106
210810_A00902_B_L002_APMG-38-9	Viruses	470
BH193L-1_S22	Viruses	417
BH193L-2_S19	Viruses	2534
BH193L-2_S20	Viruses	1723
BH193L-3_S20	Viruses	832
BH193L-4_S23	Viruses	859
BH193L-5_S24	Viruses	217
BH194L-1_S25	Viruses	29
BH194L-2_S26	Viruses	18
BH194L-3_S25	Viruses	69
BH194L-4_S16	Viruses	162
BH194L-4_S17	Viruses	118
BH194L-6_S26	Viruses	104
BH194L-7_S17	Viruses	127
BH194L-7_S18	Viruses	88
BH195L-1_S27	Viruses	195
BH195L-2_S18	Viruses	229
BH195L-2_S19	Viruses	141
BH195L-3_S28	Viruses	240
BH195L-4_S29	Viruses	190
ELS162S7	Viruses	732
ELS163S8	Viruses	1179
ELS165S9	Viruses	12038
ELS167S10	Viruses	12045
ELS170S11	Viruses	2
IE111L-1_S1	Viruses	861
IE111L-2_S2	Viruses	4658
IE111L-3_S3	Viruses	11706
IE111L-4_S1	Viruses	5947
IE111L-5_S5	Viruses	2729
IE111L-6_S6	Viruses	602
IE111L-7_S7	Viruses	2018
IE112L-1_S9	Viruses	1130
IE112L-2_S10	Viruses	1328
IE112L-3_S11	Viruses	3349
IE112L-4_S17	Viruses	9608
IE112L-5_S18	Viruses	12168
IE112L-6_S19	Viruses	4453
IE112L-7_S12	Viruses	1168
IE113L-1_S13	Viruses	12639
IE113L-2_S14	Viruses	5697
IE113L-3_S3	Viruses	7235
IE113L-4_S4	Viruses	6591
IE113L-5_S5	Viruses	3986
IE113L-6_S6	Viruses	4697
IE113L-7_S7	Viruses	3408
IE114L-1_S9	Viruses	3677
IE114L-2_S10	Viruses	8858
IE114L-3_S11	Viruses	4804
IE115L-6_S15	Viruses	1
JK079L-1_S1	Viruses	159
JK079L-10-WDH_S10	Viruses	342
JK079L-11-WDH_S11	Viruses	187
JK079L-12-WDH_S12	Viruses	118
JK079L-13-WDH_S13	Viruses	233
JK079L-14-WDH_S14	Viruses	168
JK079L-2_S2	Viruses	695
JK079L-3_S3	Viruses	126
JK079L-4_S4	Viruses	265
JK079L-5_S5	Viruses	290
JK079L-6-WDH_S6	Viruses	324
JK079L-7-WDH_S7	Viruses	366
JK079L-8_S8	Viruses	432
JK079L-9_S9	Viruses	128
JK080L-1_S17	Viruses	70
JK080L-10_S26	Viruses	10728
JK080L-11_S27	Viruses	251
JK080L-12_S28	Viruses	10449
JK080L-13_S29	Viruses	4628
JK080L-14_S30	Viruses	4394
JK080L-2_S18	Viruses	46
JK080L-3_S19	Viruses	39
JK080L-4_S20	Viruses	318
JK080L-6_S22	Viruses	80
JK080L-7_S23	Viruses	331
JK080L-8_S24	Viruses	860
JK080L-9_S25	Viruses	5391
JK081L-1_S1	Viruses	550
JK081L-11_S11	Viruses	138
JK081L-12_S12	Viruses	170
JK081L-13_S13	Viruses	40
JK081L-14_S14	Viruses	1
JK081L-2_S2	Viruses	1072
JK081L-3_S3	Viruses	372
JK081L-4_S4	Viruses	153
JK081L-6_S6	Viruses	320
JK081L-7_S7	Viruses	268
JK081L-8_S8	Viruses	65
JK081L-9_S9	Viruses	164
JK105L-6_S21	Viruses	1074
JK109L-4_S21	Viruses	384
JK109L-4_S22	Viruses	615
JK109L-5_S30	Viruses	207
JK109L-6_S31	Viruses	105
JK115L-2_S24	Viruses	217
JK115L-4_S23	Viruses	363
JK136L-2_S2	Viruses	450
JK136L-3_S3	Viruses	368
JK136L-4_S4	Viruses	1296
JK136L-5_S5	Viruses	281
JK136L-6_S6	Viruses	473
JK136L-7_S7	Viruses	629
JK137L-1_S9	Viruses	604
JK137L-2_S10	Viruses	205
JK137L-3_S11	Viruses	696
JK137L-4_S12	Viruses	1315
JK137L-5_S13	Viruses	704
JK137L-6_S14	Viruses	1334
JK137L-7_S15	Viruses	1497
JK138L-1_S17	Viruses	2739
JK138L-2_S18	Viruses	2970
JK138L-3_S19	Viruses	4784
JK138L-4_S20	Viruses	8542
JK138L-6_S22	Viruses	1601
JK138L-7_S23	Viruses	1688
JoW001L-1_S1	Viruses	100
JoW001L-2_S2	Viruses	32
JoW001L-3_S3	Viruses	265
JoW001L-4_S4	Viruses	129
JoW001L-5_S5	Viruses	142
JoW001L-6_S6	Viruses	150
JoW002L-1_S9	Viruses	129
JoW002L-2_S10	Viruses	275
JoW002L-4_S12	Viruses	468
JoW002L-5_S13	Viruses	283
JoW002L-6_S14	Viruses	602
JoW003L-1_S17	Viruses	448
JoW003L-2_S18	Viruses	258
JoW003L-3_S19	Viruses	92
JoW003L-4_S20	Viruses	127
JoW003L-5_S21	Viruses	55
JoW003L-6_S22	Viruses	126
JoW004L-1_S25	Viruses	24
JoW004L-2_S26	Viruses	62
JoW004L-3_S27	Viruses	159
JoW004L-4_S28	Viruses	114
JoW004L-5_S29	Viruses	51
JoW004L-6_S30	Viruses	278
JoW005L-1_S33	Viruses	67
JoW005L-2_S34	Viruses	507
JoW005L-3_S35	Viruses	1356
JoW005L-4_S36	Viruses	1426
JoW007L-1_S1	Viruses	116
JoW007L-2_S2	Viruses	246
JoW007L-3_S3	Viruses	280
JoW007L-4_S4	Viruses	155
JoW007L-5_S5	Viruses	126
JoW007L-6_S6	Viruses	141
StB097L-01_S1	Viruses	647
StB097L-02_S2	Viruses	294
StB097L-03_S3	Viruses	1698
StB097L-04_S4	Viruses	880
StB097L-05_S5	Viruses	1958
StB097L-06_S6	Viruses	608
StB097L-07_S7	Viruses	2
StB097L-08_S8	Viruses	1
StB106L-01_S9	Viruses	355
StB106L-02_S10	Viruses	781
StB106L-04_S12	Viruses	252
StB106L-05_S13	Viruses	1401
StB108L-01_S17	Viruses	551
StB108L-02_S18	Viruses	598
StB108L-03_S19	Viruses	996
StB108L-05_S21	Viruses	367
StB108L-06_S22	Viruses	1
StB108L-07_S23	Viruses	1437
StB108L-08_S24	Viruses	1
StB109L-01_S25	Viruses	4822
StB109L-02_S26	Viruses	3963
StB109L-04_S28	Viruses	3613
StB109L-05_S29	Viruses	2645
StB109L-06_S30	Viruses	2455
WJ192L-1_S29	Viruses	513
WJ192L-3_S30	Viruses	863
WJ192L-4_S31	Viruses	828
WJ192L-5_S32	Viruses	5257
WJ192L-7_S34	Viruses	2
WJ192L-8_S35	Viruses	1
WJ194L-2_S22	Viruses	240
WJ194L-3_S23	Viruses	72
WJ194L-4_S24	Viruses	144
WJ194L-5_S25	Viruses	92
WJ194L-6_S26	Viruses	96
WJ194L-7_S27	Viruses	1
WJ195L-1_S17	Viruses	101
WJ195L-5_S18	Viruses	97
WJ196L-10_S10	Viruses	2615
WJ196L-11_S11	Viruses	690
WJ196L-12_S12	Viruses	1521
WJ196L-13_S13	Viruses	777
WJ196L-14_S14	Viruses	5371
WJ196L-15_S15	Viruses	349
WJ196L-16_S16	Viruses	3
WJ196L-4_S4	Viruses	1247
WJ196L-5_S5	Viruses	3641
WJ196L-6_S6	Viruses	10852
WJ196L-7_S7	Viruses	2362
WJ196L-8_S8	Viruses	4148
WJ196L-9_S9	Viruses	4522
