sample	class	superkingdom	taxonReads
200313_A00902_A_L001_APMG-8-5	Abditibacteriia	Bacteria	1
200313_A00902_A_L001_APMG-8-9	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-1	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-10	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-3	Abditibacteriia	Bacteria	1
200313_A00902_A_L002_APMG-9-6	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_1	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_11	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_12	Abditibacteriia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_14	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_15	Abditibacteriia	Bacteria	5
201118_A00902_B_L1-2_APMG_19_16	Abditibacteriia	Bacteria	10
201118_A00902_B_L1-2_APMG_19_17	Abditibacteriia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_2	Abditibacteriia	Bacteria	6
201118_A00902_B_L1-2_APMG_19_3	Abditibacteriia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_7	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-10	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-11	Abditibacteriia	Bacteria	1
210810_A00902_B_L001_APMG-37-3	Abditibacteriia	Bacteria	3
210810_A00902_B_L001_APMG-37-4	Abditibacteriia	Bacteria	5
210810_A00902_B_L001_APMG-37-7	Abditibacteriia	Bacteria	3
210810_A00902_B_L001_APMG-37-8	Abditibacteriia	Bacteria	2
210810_A00902_B_L001_APMG-37-9	Abditibacteriia	Bacteria	4
210810_A00902_B_L002_APMG-38-1	Abditibacteriia	Bacteria	2
210810_A00902_B_L002_APMG-38-10	Abditibacteriia	Bacteria	5
210810_A00902_B_L002_APMG-38-5	Abditibacteriia	Bacteria	3
210810_A00902_B_L002_APMG-38-7	Abditibacteriia	Bacteria	1
210810_A00902_B_L002_APMG-38-8	Abditibacteriia	Bacteria	5
BH193L-1_S22	Abditibacteriia	Bacteria	1
BH194L-1_S25	Abditibacteriia	Bacteria	4
BH194L-2_S26	Abditibacteriia	Bacteria	3
BH194L-3_S25	Abditibacteriia	Bacteria	5
BH194L-6_S26	Abditibacteriia	Bacteria	3
BH194L-7_S17	Abditibacteriia	Bacteria	1
BH194L-7_S18	Abditibacteriia	Bacteria	2
BH195L-4_S29	Abditibacteriia	Bacteria	4
ELS162S7	Abditibacteriia	Bacteria	2
ELS163S8	Abditibacteriia	Bacteria	1
ELS165S9	Abditibacteriia	Bacteria	4
ELS167S10	Abditibacteriia	Bacteria	2
IE111L-1_S1	Abditibacteriia	Bacteria	2
IE111L-2_S2	Abditibacteriia	Bacteria	5
IE111L-3_S3	Abditibacteriia	Bacteria	4
IE111L-4_S1	Abditibacteriia	Bacteria	3
IE111L-5_S5	Abditibacteriia	Bacteria	4
IE111L-6_S6	Abditibacteriia	Bacteria	3
IE111L-7_S7	Abditibacteriia	Bacteria	3
IE112L-1_S9	Abditibacteriia	Bacteria	2
IE112L-2_S10	Abditibacteriia	Bacteria	3
IE112L-3_S11	Abditibacteriia	Bacteria	6
IE112L-4_S17	Abditibacteriia	Bacteria	8
IE112L-5_S18	Abditibacteriia	Bacteria	4
IE112L-6_S19	Abditibacteriia	Bacteria	3
IE112L-7_S12	Abditibacteriia	Bacteria	1
IE113L-1_S13	Abditibacteriia	Bacteria	5
IE113L-2_S14	Abditibacteriia	Bacteria	5
IE113L-3_S3	Abditibacteriia	Bacteria	4
IE113L-4_S4	Abditibacteriia	Bacteria	2
IE113L-6_S6	Abditibacteriia	Bacteria	3
IE113L-7_S7	Abditibacteriia	Bacteria	2
IE114L-1_S9	Abditibacteriia	Bacteria	3
IE114L-2_S10	Abditibacteriia	Bacteria	4
IE114L-3_S11	Abditibacteriia	Bacteria	5
JK079L-10-WDH_S10	Abditibacteriia	Bacteria	3
JK079L-11-WDH_S11	Abditibacteriia	Bacteria	2
JK079L-13-WDH_S13	Abditibacteriia	Bacteria	2
JK079L-2_S2	Abditibacteriia	Bacteria	2
JK079L-3_S3	Abditibacteriia	Bacteria	3
JK079L-4_S4	Abditibacteriia	Bacteria	4
JK079L-6-WDH_S6	Abditibacteriia	Bacteria	3
JK079L-7-WDH_S7	Abditibacteriia	Bacteria	2
JK079L-8_S8	Abditibacteriia	Bacteria	3
JK079L-9_S9	Abditibacteriia	Bacteria	2
JK080L-1_S17	Abditibacteriia	Bacteria	2
JK080L-11_S27	Abditibacteriia	Bacteria	3
JK080L-12_S28	Abditibacteriia	Bacteria	1
JK080L-13_S29	Abditibacteriia	Bacteria	1
JK080L-14_S30	Abditibacteriia	Bacteria	4
JK080L-2_S18	Abditibacteriia	Bacteria	4
JK080L-6_S22	Abditibacteriia	Bacteria	1
JK080L-8_S24	Abditibacteriia	Bacteria	1
JK081L-11_S11	Abditibacteriia	Bacteria	1
JK081L-12_S12	Abditibacteriia	Bacteria	4
JK081L-2_S2	Abditibacteriia	Bacteria	2
JK081L-3_S3	Abditibacteriia	Bacteria	1
JK081L-4_S4	Abditibacteriia	Bacteria	6
JK081L-6_S6	Abditibacteriia	Bacteria	6
JK081L-7_S7	Abditibacteriia	Bacteria	1
JK081L-9_S9	Abditibacteriia	Bacteria	1
JK109L-4_S21	Abditibacteriia	Bacteria	3
JK109L-4_S22	Abditibacteriia	Bacteria	3
JK109L-6_S31	Abditibacteriia	Bacteria	5
JK115L-2_S24	Abditibacteriia	Bacteria	1
JK115L-4_S23	Abditibacteriia	Bacteria	12
JK136L-2_S2	Abditibacteriia	Bacteria	1
JK136L-3_S3	Abditibacteriia	Bacteria	2
JK136L-4_S4	Abditibacteriia	Bacteria	1
JK136L-5_S5	Abditibacteriia	Bacteria	2
JK137L-2_S10	Abditibacteriia	Bacteria	1
JK137L-3_S11	Abditibacteriia	Bacteria	1
JK137L-5_S13	Abditibacteriia	Bacteria	1
JoW001L-2_S2	Abditibacteriia	Bacteria	1
JoW001L-4_S4	Abditibacteriia	Bacteria	1
JoW001L-5_S5	Abditibacteriia	Bacteria	4
JoW002L-6_S14	Abditibacteriia	Bacteria	1
JoW003L-3_S19	Abditibacteriia	Bacteria	1
JoW003L-6_S22	Abditibacteriia	Bacteria	1
JoW005L-1_S33	Abditibacteriia	Bacteria	2
JoW005L-2_S34	Abditibacteriia	Bacteria	4
JoW005L-3_S35	Abditibacteriia	Bacteria	2
JoW007L-1_S1	Abditibacteriia	Bacteria	1
JoW007L-3_S3	Abditibacteriia	Bacteria	1
StB097L-03_S3	Abditibacteriia	Bacteria	3
StB097L-04_S4	Abditibacteriia	Bacteria	2
StB097L-05_S5	Abditibacteriia	Bacteria	1
StB106L-02_S10	Abditibacteriia	Bacteria	1
StB106L-04_S12	Abditibacteriia	Bacteria	1
StB108L-01_S17	Abditibacteriia	Bacteria	2
StB109L-05_S29	Abditibacteriia	Bacteria	1
WJ192L-1_S29	Abditibacteriia	Bacteria	1
WJ192L-3_S30	Abditibacteriia	Bacteria	1
WJ192L-5_S32	Abditibacteriia	Bacteria	3
WJ194L-6_S26	Abditibacteriia	Bacteria	2
WJ195L-1_S17	Abditibacteriia	Bacteria	1
WJ195L-5_S18	Abditibacteriia	Bacteria	1
WJ196L-11_S11	Abditibacteriia	Bacteria	8
WJ196L-12_S12	Abditibacteriia	Bacteria	2
WJ196L-13_S13	Abditibacteriia	Bacteria	2
WJ196L-14_S14	Abditibacteriia	Bacteria	2
WJ196L-8_S8	Abditibacteriia	Bacteria	1
191011_SND405_A_L007_APMG-6-1	Acidimicrobiia	Bacteria	48
191011_SND405_A_L007_APMG-6-2	Acidimicrobiia	Bacteria	24
191011_SND405_A_L007_APMG-6-3	Acidimicrobiia	Bacteria	15
191011_SND405_A_L007_APMG-6-4	Acidimicrobiia	Bacteria	36
191011_SND405_A_L007_APMG-6-5	Acidimicrobiia	Bacteria	6
191011_SND405_A_L007_APMG-6-6	Acidimicrobiia	Bacteria	6
200313_A00902_A_L001_APMG-8-1	Acidimicrobiia	Bacteria	38
200313_A00902_A_L001_APMG-8-10	Acidimicrobiia	Bacteria	22
200313_A00902_A_L001_APMG-8-11	Acidimicrobiia	Bacteria	11
200313_A00902_A_L001_APMG-8-12	Acidimicrobiia	Bacteria	25
200313_A00902_A_L001_APMG-8-2	Acidimicrobiia	Bacteria	33
200313_A00902_A_L001_APMG-8-3	Acidimicrobiia	Bacteria	52
200313_A00902_A_L001_APMG-8-4	Acidimicrobiia	Bacteria	119
200313_A00902_A_L001_APMG-8-5	Acidimicrobiia	Bacteria	99
200313_A00902_A_L001_APMG-8-6	Acidimicrobiia	Bacteria	15
200313_A00902_A_L001_APMG-8-8	Acidimicrobiia	Bacteria	12
200313_A00902_A_L001_APMG-8-9	Acidimicrobiia	Bacteria	17
200313_A00902_A_L002_APMG-9-1	Acidimicrobiia	Bacteria	16
200313_A00902_A_L002_APMG-9-10	Acidimicrobiia	Bacteria	42
200313_A00902_A_L002_APMG-9-11	Acidimicrobiia	Bacteria	180
200313_A00902_A_L002_APMG-9-2	Acidimicrobiia	Bacteria	17
200313_A00902_A_L002_APMG-9-3	Acidimicrobiia	Bacteria	12
200313_A00902_A_L002_APMG-9-5	Acidimicrobiia	Bacteria	15
200313_A00902_A_L002_APMG-9-6	Acidimicrobiia	Bacteria	6
200313_A00902_A_L002_APMG-9-7	Acidimicrobiia	Bacteria	16
200313_A00902_A_L002_APMG-9-8	Acidimicrobiia	Bacteria	29
200313_A00902_A_L002_APMG-9-9	Acidimicrobiia	Bacteria	23
201118_A00902_B_L1-2_APMG_19_1	Acidimicrobiia	Bacteria	251
201118_A00902_B_L1-2_APMG_19_10	Acidimicrobiia	Bacteria	148
201118_A00902_B_L1-2_APMG_19_11	Acidimicrobiia	Bacteria	127
201118_A00902_B_L1-2_APMG_19_12	Acidimicrobiia	Bacteria	204
201118_A00902_B_L1-2_APMG_19_13	Acidimicrobiia	Bacteria	135
201118_A00902_B_L1-2_APMG_19_14	Acidimicrobiia	Bacteria	181
201118_A00902_B_L1-2_APMG_19_15	Acidimicrobiia	Bacteria	130
201118_A00902_B_L1-2_APMG_19_16	Acidimicrobiia	Bacteria	217
201118_A00902_B_L1-2_APMG_19_17	Acidimicrobiia	Bacteria	116
201118_A00902_B_L1-2_APMG_19_2	Acidimicrobiia	Bacteria	338
201118_A00902_B_L1-2_APMG_19_22	Acidimicrobiia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_3	Acidimicrobiia	Bacteria	197
201118_A00902_B_L1-2_APMG_19_4	Acidimicrobiia	Bacteria	1
201118_A00902_B_L1-2_APMG_19_5	Acidimicrobiia	Bacteria	132
201118_A00902_B_L1-2_APMG_19_6	Acidimicrobiia	Bacteria	42
201118_A00902_B_L1-2_APMG_19_7	Acidimicrobiia	Bacteria	52
201118_A00902_B_L1-2_APMG_19_8	Acidimicrobiia	Bacteria	88
201118_A00902_B_L1-2_APMG_19_9	Acidimicrobiia	Bacteria	125
210810_A00902_B_L001_APMG-37-1	Acidimicrobiia	Bacteria	49
210810_A00902_B_L001_APMG-37-10	Acidimicrobiia	Bacteria	163
210810_A00902_B_L001_APMG-37-11	Acidimicrobiia	Bacteria	82
210810_A00902_B_L001_APMG-37-2	Acidimicrobiia	Bacteria	44
210810_A00902_B_L001_APMG-37-3	Acidimicrobiia	Bacteria	55
210810_A00902_B_L001_APMG-37-4	Acidimicrobiia	Bacteria	104
210810_A00902_B_L001_APMG-37-6	Acidimicrobiia	Bacteria	93
210810_A00902_B_L001_APMG-37-7	Acidimicrobiia	Bacteria	215
210810_A00902_B_L001_APMG-37-8	Acidimicrobiia	Bacteria	87
210810_A00902_B_L001_APMG-37-9	Acidimicrobiia	Bacteria	222
210810_A00902_B_L002_APMG-38-1	Acidimicrobiia	Bacteria	210
210810_A00902_B_L002_APMG-38-10	Acidimicrobiia	Bacteria	62
210810_A00902_B_L002_APMG-38-15	Acidimicrobiia	Bacteria	64
210810_A00902_B_L002_APMG-38-2	Acidimicrobiia	Bacteria	80
210810_A00902_B_L002_APMG-38-3	Acidimicrobiia	Bacteria	64
210810_A00902_B_L002_APMG-38-4	Acidimicrobiia	Bacteria	43
210810_A00902_B_L002_APMG-38-5	Acidimicrobiia	Bacteria	36
210810_A00902_B_L002_APMG-38-7	Acidimicrobiia	Bacteria	180
210810_A00902_B_L002_APMG-38-8	Acidimicrobiia	Bacteria	453
210810_A00902_B_L002_APMG-38-9	Acidimicrobiia	Bacteria	72
BH193L-1_S22	Acidimicrobiia	Bacteria	35
BH193L-2_S19	Acidimicrobiia	Bacteria	47
BH193L-2_S20	Acidimicrobiia	Bacteria	33
BH193L-3_S20	Acidimicrobiia	Bacteria	65
BH193L-4_S23	Acidimicrobiia	Bacteria	36
BH193L-5_S24	Acidimicrobiia	Bacteria	39
BH194L-1_S25	Acidimicrobiia	Bacteria	101
BH194L-2_S26	Acidimicrobiia	Bacteria	72
BH194L-3_S25	Acidimicrobiia	Bacteria	133
BH194L-4_S16	Acidimicrobiia	Bacteria	140
BH194L-4_S17	Acidimicrobiia	Bacteria	89
BH194L-6_S26	Acidimicrobiia	Bacteria	63
BH194L-7_S17	Acidimicrobiia	Bacteria	111
BH194L-7_S18	Acidimicrobiia	Bacteria	85
BH195L-1_S27	Acidimicrobiia	Bacteria	57
BH195L-2_S18	Acidimicrobiia	Bacteria	67
BH195L-2_S19	Acidimicrobiia	Bacteria	40
BH195L-3_S28	Acidimicrobiia	Bacteria	41
BH195L-4_S29	Acidimicrobiia	Bacteria	39
ELS162S7	Acidimicrobiia	Bacteria	279
ELS163S8	Acidimicrobiia	Bacteria	142
ELS165S9	Acidimicrobiia	Bacteria	342
ELS167S10	Acidimicrobiia	Bacteria	192
IE111L-1_S1	Acidimicrobiia	Bacteria	317
IE111L-2_S2	Acidimicrobiia	Bacteria	296
IE111L-3_S3	Acidimicrobiia	Bacteria	282
IE111L-4_S1	Acidimicrobiia	Bacteria	419
IE111L-5_S5	Acidimicrobiia	Bacteria	372
IE111L-6_S6	Acidimicrobiia	Bacteria	257
IE111L-7_S7	Acidimicrobiia	Bacteria	240
IE112L-1_S9	Acidimicrobiia	Bacteria	190
IE112L-2_S10	Acidimicrobiia	Bacteria	147
IE112L-3_S11	Acidimicrobiia	Bacteria	251
IE112L-4_S17	Acidimicrobiia	Bacteria	334
IE112L-5_S18	Acidimicrobiia	Bacteria	326
IE112L-6_S19	Acidimicrobiia	Bacteria	289
IE112L-7_S12	Acidimicrobiia	Bacteria	52
IE113L-1_S13	Acidimicrobiia	Bacteria	518
IE113L-2_S14	Acidimicrobiia	Bacteria	751
IE113L-3_S3	Acidimicrobiia	Bacteria	429
IE113L-4_S4	Acidimicrobiia	Bacteria	304
IE113L-5_S5	Acidimicrobiia	Bacteria	463
IE113L-6_S6	Acidimicrobiia	Bacteria	813
IE113L-7_S7	Acidimicrobiia	Bacteria	631
IE114L-1_S9	Acidimicrobiia	Bacteria	547
IE114L-2_S10	Acidimicrobiia	Bacteria	769
IE114L-3_S11	Acidimicrobiia	Bacteria	762
JK079L-1_S1	Acidimicrobiia	Bacteria	53
JK079L-10-WDH_S10	Acidimicrobiia	Bacteria	107
JK079L-11-WDH_S11	Acidimicrobiia	Bacteria	44
JK079L-12-WDH_S12	Acidimicrobiia	Bacteria	51
JK079L-13-WDH_S13	Acidimicrobiia	Bacteria	79
JK079L-14-WDH_S14	Acidimicrobiia	Bacteria	50
JK079L-2_S2	Acidimicrobiia	Bacteria	33
JK079L-3_S3	Acidimicrobiia	Bacteria	48
JK079L-4_S4	Acidimicrobiia	Bacteria	64
JK079L-5_S5	Acidimicrobiia	Bacteria	43
JK079L-6-WDH_S6	Acidimicrobiia	Bacteria	56
JK079L-7-WDH_S7	Acidimicrobiia	Bacteria	84
JK079L-8_S8	Acidimicrobiia	Bacteria	68
JK079L-9_S9	Acidimicrobiia	Bacteria	61
JK080L-1_S17	Acidimicrobiia	Bacteria	24
JK080L-10_S26	Acidimicrobiia	Bacteria	229
JK080L-11_S27	Acidimicrobiia	Bacteria	306
JK080L-12_S28	Acidimicrobiia	Bacteria	459
JK080L-13_S29	Acidimicrobiia	Bacteria	517
JK080L-14_S30	Acidimicrobiia	Bacteria	393
JK080L-2_S18	Acidimicrobiia	Bacteria	27
JK080L-3_S19	Acidimicrobiia	Bacteria	21
JK080L-4_S20	Acidimicrobiia	Bacteria	34
JK080L-6_S22	Acidimicrobiia	Bacteria	48
JK080L-7_S23	Acidimicrobiia	Bacteria	37
JK080L-8_S24	Acidimicrobiia	Bacteria	700
JK080L-9_S25	Acidimicrobiia	Bacteria	353
JK081L-1_S1	Acidimicrobiia	Bacteria	102
JK081L-11_S11	Acidimicrobiia	Bacteria	132
JK081L-12_S12	Acidimicrobiia	Bacteria	231
JK081L-13_S13	Acidimicrobiia	Bacteria	29
JK081L-2_S2	Acidimicrobiia	Bacteria	252
JK081L-3_S3	Acidimicrobiia	Bacteria	49
JK081L-4_S4	Acidimicrobiia	Bacteria	326
JK081L-6_S6	Acidimicrobiia	Bacteria	351
JK081L-7_S7	Acidimicrobiia	Bacteria	80
JK081L-8_S8	Acidimicrobiia	Bacteria	105
JK081L-9_S9	Acidimicrobiia	Bacteria	160
JK105L-6_S21	Acidimicrobiia	Bacteria	189
JK109L-4_S21	Acidimicrobiia	Bacteria	77
JK109L-4_S22	Acidimicrobiia	Bacteria	128
JK109L-5_S30	Acidimicrobiia	Bacteria	44
JK109L-6_S31	Acidimicrobiia	Bacteria	37
JK115L-2_S24	Acidimicrobiia	Bacteria	242
JK115L-4_S23	Acidimicrobiia	Bacteria	422
JK136L-2_S2	Acidimicrobiia	Bacteria	77
JK136L-3_S3	Acidimicrobiia	Bacteria	74
JK136L-4_S4	Acidimicrobiia	Bacteria	63
JK136L-5_S5	Acidimicrobiia	Bacteria	25
JK136L-6_S6	Acidimicrobiia	Bacteria	4
JK136L-7_S7	Acidimicrobiia	Bacteria	50
JK137L-1_S9	Acidimicrobiia	Bacteria	50
JK137L-2_S10	Acidimicrobiia	Bacteria	19
JK137L-3_S11	Acidimicrobiia	Bacteria	45
JK137L-4_S12	Acidimicrobiia	Bacteria	32
JK137L-5_S13	Acidimicrobiia	Bacteria	41
JK137L-6_S14	Acidimicrobiia	Bacteria	71
JK137L-7_S15	Acidimicrobiia	Bacteria	72
JK138L-1_S17	Acidimicrobiia	Bacteria	38
JK138L-2_S18	Acidimicrobiia	Bacteria	41
JK138L-3_S19	Acidimicrobiia	Bacteria	74
JK138L-4_S20	Acidimicrobiia	Bacteria	80
JK138L-6_S22	Acidimicrobiia	Bacteria	23
JK138L-7_S23	Acidimicrobiia	Bacteria	23
JoW001L-1_S1	Acidimicrobiia	Bacteria	13
JoW001L-2_S2	Acidimicrobiia	Bacteria	41
JoW001L-3_S3	Acidimicrobiia	Bacteria	19
JoW001L-4_S4	Acidimicrobiia	Bacteria	3
JoW001L-5_S5	Acidimicrobiia	Bacteria	7
JoW001L-6_S6	Acidimicrobiia	Bacteria	32
JoW002L-1_S9	Acidimicrobiia	Bacteria	12
JoW002L-2_S10	Acidimicrobiia	Bacteria	12
JoW002L-4_S12	Acidimicrobiia	Bacteria	15
JoW002L-5_S13	Acidimicrobiia	Bacteria	13
JoW002L-6_S14	Acidimicrobiia	Bacteria	21
JoW003L-1_S17	Acidimicrobiia	Bacteria	29
JoW003L-2_S18	Acidimicrobiia	Bacteria	13
JoW003L-3_S19	Acidimicrobiia	Bacteria	12
JoW003L-4_S20	Acidimicrobiia	Bacteria	6
JoW003L-5_S21	Acidimicrobiia	Bacteria	2
JoW003L-6_S22	Acidimicrobiia	Bacteria	7
JoW004L-1_S25	Acidimicrobiia	Bacteria	2
JoW004L-2_S26	Acidimicrobiia	Bacteria	5
JoW004L-3_S27	Acidimicrobiia	Bacteria	9
JoW004L-4_S28	Acidimicrobiia	Bacteria	4
JoW004L-5_S29	Acidimicrobiia	Bacteria	9
JoW004L-6_S30	Acidimicrobiia	Bacteria	20
JoW005L-1_S33	Acidimicrobiia	Bacteria	16
JoW005L-2_S34	Acidimicrobiia	Bacteria	39
JoW005L-3_S35	Acidimicrobiia	Bacteria	56
JoW005L-4_S36	Acidimicrobiia	Bacteria	99
JoW007L-1_S1	Acidimicrobiia	Bacteria	11
JoW007L-2_S2	Acidimicrobiia	Bacteria	29
JoW007L-3_S3	Acidimicrobiia	Bacteria	36
JoW007L-4_S4	Acidimicrobiia	Bacteria	14
JoW007L-5_S5	Acidimicrobiia	Bacteria	3
JoW007L-6_S6	Acidimicrobiia	Bacteria	8
StB097L-01_S1	Acidimicrobiia	Bacteria	35
StB097L-02_S2	Acidimicrobiia	Bacteria	22
StB097L-03_S3	Acidimicrobiia	Bacteria	58
StB097L-04_S4	Acidimicrobiia	Bacteria	53
StB097L-05_S5	Acidimicrobiia	Bacteria	104
StB097L-06_S6	Acidimicrobiia	Bacteria	73
StB106L-01_S9	Acidimicrobiia	Bacteria	98
StB106L-02_S10	Acidimicrobiia	Bacteria	98
StB106L-04_S12	Acidimicrobiia	Bacteria	19
StB106L-05_S13	Acidimicrobiia	Bacteria	143
StB108L-01_S17	Acidimicrobiia	Bacteria	73
StB108L-02_S18	Acidimicrobiia	Bacteria	60
StB108L-03_S19	Acidimicrobiia	Bacteria	40
StB108L-05_S21	Acidimicrobiia	Bacteria	31
StB108L-07_S23	Acidimicrobiia	Bacteria	18
StB109L-01_S25	Acidimicrobiia	Bacteria	119
StB109L-02_S26	Acidimicrobiia	Bacteria	139
StB109L-04_S28	Acidimicrobiia	Bacteria	154
StB109L-05_S29	Acidimicrobiia	Bacteria	40
StB109L-06_S30	Acidimicrobiia	Bacteria	31
WJ192L-1_S29	Acidimicrobiia	Bacteria	122
WJ192L-3_S30	Acidimicrobiia	Bacteria	74
WJ192L-4_S31	Acidimicrobiia	Bacteria	51
WJ192L-5_S32	Acidimicrobiia	Bacteria	123
WJ194L-2_S22	Acidimicrobiia	Bacteria	71
WJ194L-3_S23	Acidimicrobiia	Bacteria	40
WJ194L-4_S24	Acidimicrobiia	Bacteria	66
WJ194L-5_S25	Acidimicrobiia	Bacteria	45
WJ194L-6_S26	Acidimicrobiia	Bacteria	61
WJ194L-7_S27	Acidimicrobiia	Bacteria	1
WJ195L-1_S17	Acidimicrobiia	Bacteria	98
WJ195L-5_S18	Acidimicrobiia	Bacteria	42
WJ196L-10_S10	Acidimicrobiia	Bacteria	197
WJ196L-11_S11	Acidimicrobiia	Bacteria	138
WJ196L-12_S12	Acidimicrobiia	Bacteria	130
WJ196L-13_S13	Acidimicrobiia	Bacteria	110
WJ196L-14_S14	Acidimicrobiia	Bacteria	104
WJ196L-15_S15	Acidimicrobiia	Bacteria	81
WJ196L-4_S4	Acidimicrobiia	Bacteria	121
WJ196L-5_S5	Acidimicrobiia	Bacteria	112
WJ196L-6_S6	Acidimicrobiia	Bacteria	138
WJ196L-7_S7	Acidimicrobiia	Bacteria	239
WJ196L-8_S8	Acidimicrobiia	Bacteria	148
WJ196L-9_S9	Acidimicrobiia	Bacteria	438
191011_SND405_A_L007_APMG-6-1	Acidithiobacillia	Bacteria	21
191011_SND405_A_L007_APMG-6-2	Acidithiobacillia	Bacteria	32
191011_SND405_A_L007_APMG-6-3	Acidithiobacillia	Bacteria	12
191011_SND405_A_L007_APMG-6-4	Acidithiobacillia	Bacteria	12
191011_SND405_A_L007_APMG-6-5	Acidithiobacillia	Bacteria	6
191011_SND405_A_L007_APMG-6-6	Acidithiobacillia	Bacteria	37
200313_A00902_A_L001_APMG-8-1	Acidithiobacillia	Bacteria	47
200313_A00902_A_L001_APMG-8-10	Acidithiobacillia	Bacteria	13
200313_A00902_A_L001_APMG-8-11	Acidithiobacillia	Bacteria	13
200313_A00902_A_L001_APMG-8-12	Acidithiobacillia	Bacteria	13
200313_A00902_A_L001_APMG-8-2	Acidithiobacillia	Bacteria	160
200313_A00902_A_L001_APMG-8-3	Acidithiobacillia	Bacteria	52
200313_A00902_A_L001_APMG-8-4	Acidithiobacillia	Bacteria	13
200313_A00902_A_L001_APMG-8-5	Acidithiobacillia	Bacteria	9
200313_A00902_A_L001_APMG-8-6	Acidithiobacillia	Bacteria	27
200313_A00902_A_L001_APMG-8-8	Acidithiobacillia	Bacteria	14
200313_A00902_A_L001_APMG-8-9	Acidithiobacillia	Bacteria	31
200313_A00902_A_L002_APMG-9-1	Acidithiobacillia	Bacteria	28
200313_A00902_A_L002_APMG-9-10	Acidithiobacillia	Bacteria	98
200313_A00902_A_L002_APMG-9-11	Acidithiobacillia	Bacteria	17
200313_A00902_A_L002_APMG-9-2	Acidithiobacillia	Bacteria	26
200313_A00902_A_L002_APMG-9-3	Acidithiobacillia	Bacteria	33
200313_A00902_A_L002_APMG-9-5	Acidithiobacillia	Bacteria	11
200313_A00902_A_L002_APMG-9-6	Acidithiobacillia	Bacteria	44
200313_A00902_A_L002_APMG-9-7	Acidithiobacillia	Bacteria	47
200313_A00902_A_L002_APMG-9-8	Acidithiobacillia	Bacteria	21
200313_A00902_A_L002_APMG-9-9	Acidithiobacillia	Bacteria	73
201118_A00902_B_L1-2_APMG_19_1	Acidithiobacillia	Bacteria	82
201118_A00902_B_L1-2_APMG_19_10	Acidithiobacillia	Bacteria	37
201118_A00902_B_L1-2_APMG_19_11	Acidithiobacillia	Bacteria	106
201118_A00902_B_L1-2_APMG_19_12	Acidithiobacillia	Bacteria	77
201118_A00902_B_L1-2_APMG_19_13	Acidithiobacillia	Bacteria	79
201118_A00902_B_L1-2_APMG_19_14	Acidithiobacillia	Bacteria	38
201118_A00902_B_L1-2_APMG_19_15	Acidithiobacillia	Bacteria	149
201118_A00902_B_L1-2_APMG_19_16	Acidithiobacillia	Bacteria	179
201118_A00902_B_L1-2_APMG_19_17	Acidithiobacillia	Bacteria	400
201118_A00902_B_L1-2_APMG_19_2	Acidithiobacillia	Bacteria	186
201118_A00902_B_L1-2_APMG_19_21	Acidithiobacillia	Bacteria	2
201118_A00902_B_L1-2_APMG_19_3	Acidithiobacillia	Bacteria	49
201118_A00902_B_L1-2_APMG_19_5	Acidithiobacillia	Bacteria	73
201118_A00902_B_L1-2_APMG_19_6	Acidithiobacillia	Bacteria	28
201118_A00902_B_L1-2_APMG_19_7	Acidithiobacillia	Bacteria	52
201118_A00902_B_L1-2_APMG_19_8	Acidithiobacillia	Bacteria	333
201118_A00902_B_L1-2_APMG_19_9	Acidithiobacillia	Bacteria	86
210810_A00902_B_L001_APMG-37-1	Acidithiobacillia	Bacteria	22
210810_A00902_B_L001_APMG-37-10	Acidithiobacillia	Bacteria	144
210810_A00902_B_L001_APMG-37-11	Acidithiobacillia	Bacteria	104
210810_A00902_B_L001_APMG-37-2	Acidithiobacillia	Bacteria	116
210810_A00902_B_L001_APMG-37-3	Acidithiobacillia	Bacteria	202
210810_A00902_B_L001_APMG-37-4	Acidithiobacillia	Bacteria	39
210810_A00902_B_L001_APMG-37-6	Acidithiobacillia	Bacteria	63
210810_A00902_B_L001_APMG-37-7	Acidithiobacillia	Bacteria	168
210810_A00902_B_L001_APMG-37-8	Acidithiobacillia	Bacteria	118
210810_A00902_B_L001_APMG-37-9	Acidithiobacillia	Bacteria	220
210810_A00902_B_L002_APMG-38-1	Acidithiobacillia	Bacteria	71
210810_A00902_B_L002_APMG-38-10	Acidithiobacillia	Bacteria	789
210810_A00902_B_L002_APMG-38-15	Acidithiobacillia	Bacteria	107
210810_A00902_B_L002_APMG-38-2	Acidithiobacillia	Bacteria	131
210810_A00902_B_L002_APMG-38-3	Acidithiobacillia	Bacteria	948
