sample	phylum	superkingdom	taxonReads
210810_A00902_B_L002_APMG-38-7	Arthropoda	Eukaryota	406
210810_A00902_B_L002_APMG-38-8	Arthropoda	Eukaryota	345
210810_A00902_B_L002_APMG-38-9	Arthropoda	Eukaryota	464
BH193L-1_S22	Arthropoda	Eukaryota	220
BH193L-2_S19	Arthropoda	Eukaryota	348
BH193L-2_S20	Arthropoda	Eukaryota	230
BH193L-3_S20	Arthropoda	Eukaryota	549
BH193L-4_S23	Arthropoda	Eukaryota	793
BH193L-5_S24	Arthropoda	Eukaryota	321
BH194L-1_S25	Arthropoda	Eukaryota	309
BH194L-2_S26	Arthropoda	Eukaryota	306
BH194L-3_S25	Arthropoda	Eukaryota	195
BH194L-4_S16	Arthropoda	Eukaryota	394
BH194L-4_S17	Arthropoda	Eukaryota	247
BH194L-6_S26	Arthropoda	Eukaryota	463
BH194L-7_S17	Arthropoda	Eukaryota	717
BH194L-7_S18	Arthropoda	Eukaryota	472
BH195L-1_S27	Arthropoda	Eukaryota	589
BH195L-2_S18	Arthropoda	Eukaryota	1070
BH195L-2_S19	Arthropoda	Eukaryota	721
BH195L-3_S28	Arthropoda	Eukaryota	1015
BH195L-4_S29	Arthropoda	Eukaryota	1090
EBS12	Arthropoda	Eukaryota	2
ELS162S7	Arthropoda	Eukaryota	1323
ELS163S8	Arthropoda	Eukaryota	1150
ELS165S9	Arthropoda	Eukaryota	1393
ELS167S10	Arthropoda	Eukaryota	2038
ELS170S11	Arthropoda	Eukaryota	1
IE111L-1_S1	Arthropoda	Eukaryota	1266
IE111L-2_S2	Arthropoda	Eukaryota	1191
IE111L-3_S3	Arthropoda	Eukaryota	1758
IE111L-4_S1	Arthropoda	Eukaryota	1026
IE111L-5_S5	Arthropoda	Eukaryota	1521
IE111L-6_S6	Arthropoda	Eukaryota	1309
IE111L-7_S7	Arthropoda	Eukaryota	1284
IE112L-1_S9	Arthropoda	Eukaryota	799
IE112L-2_S10	Arthropoda	Eukaryota	674
IE112L-3_S11	Arthropoda	Eukaryota	1058
IE112L-4_S17	Arthropoda	Eukaryota	1294
IE112L-5_S18	Arthropoda	Eukaryota	1253
IE112L-6_S19	Arthropoda	Eukaryota	1056
IE112L-7_S12	Arthropoda	Eukaryota	902
IE112L-8_S15	Arthropoda	Eukaryota	1
IE113L-1_S13	Arthropoda	Eukaryota	2137
IE113L-2_S14	Arthropoda	Eukaryota	1863
IE113L-3_S3	Arthropoda	Eukaryota	1919
IE113L-4_S4	Arthropoda	Eukaryota	2814
IE113L-5_S5	Arthropoda	Eukaryota	1654
IE113L-6_S6	Arthropoda	Eukaryota	1890
IE113L-7_S7	Arthropoda	Eukaryota	1538
IE114L-1_S9	Arthropoda	Eukaryota	1545
IE114L-2_S10	Arthropoda	Eukaryota	1863
IE114L-3_S11	Arthropoda	Eukaryota	1060
IE114L-7_S17	Arthropoda	Eukaryota	2
IE114L-8_S20	Arthropoda	Eukaryota	1
JK079L-1_S1	Arthropoda	Eukaryota	313
JK079L-10-WDH_S10	Arthropoda	Eukaryota	684
JK079L-11-WDH_S11	Arthropoda	Eukaryota	379
JK079L-12-WDH_S12	Arthropoda	Eukaryota	282
JK079L-13-WDH_S13	Arthropoda	Eukaryota	415
JK079L-14-WDH_S14	Arthropoda	Eukaryota	426
JK079L-16_S16	Arthropoda	Eukaryota	1
JK079L-2_S2	Arthropoda	Eukaryota	324
JK079L-3_S3	Arthropoda	Eukaryota	366
JK079L-4_S4	Arthropoda	Eukaryota	467
JK079L-5_S5	Arthropoda	Eukaryota	303
JK079L-6-WDH_S6	Arthropoda	Eukaryota	1460
JK079L-7-WDH_S7	Arthropoda	Eukaryota	603
JK079L-8_S8	Arthropoda	Eukaryota	417
JK079L-9_S9	Arthropoda	Eukaryota	409
JK080L-1_S17	Arthropoda	Eukaryota	255
JK080L-10_S26	Arthropoda	Eukaryota	576
JK080L-11_S27	Arthropoda	Eukaryota	1362
JK080L-12_S28	Arthropoda	Eukaryota	770
JK080L-13_S29	Arthropoda	Eukaryota	461
JK080L-14_S30	Arthropoda	Eukaryota	365
JK080L-2_S18	Arthropoda	Eukaryota	228
JK080L-3_S19	Arthropoda	Eukaryota	374
JK080L-4_S20	Arthropoda	Eukaryota	539
JK080L-6_S22	Arthropoda	Eukaryota	199
JK080L-7_S23	Arthropoda	Eukaryota	185
JK080L-8_S24	Arthropoda	Eukaryota	312
JK080L-9_S25	Arthropoda	Eukaryota	663
JK081L-1_S1	Arthropoda	Eukaryota	870
JK081L-11_S11	Arthropoda	Eukaryota	807
JK081L-12_S12	Arthropoda	Eukaryota	555
JK081L-13_S13	Arthropoda	Eukaryota	361
JK081L-2_S2	Arthropoda	Eukaryota	1116
JK081L-3_S3	Arthropoda	Eukaryota	677
JK081L-4_S4	Arthropoda	Eukaryota	370
JK081L-6_S6	Arthropoda	Eukaryota	623
JK081L-7_S7	Arthropoda	Eukaryota	1173
JK081L-8_S8	Arthropoda	Eukaryota	403
JK081L-9_S9	Arthropoda	Eukaryota	353
JK105L-6_S21	Arthropoda	Eukaryota	1905
JK109L-4_S21	Arthropoda	Eukaryota	650
JK109L-4_S22	Arthropoda	Eukaryota	1077
JK109L-5_S30	Arthropoda	Eukaryota	232
JK109L-6_S31	Arthropoda	Eukaryota	1097
JK109L-8_S33	Arthropoda	Eukaryota	3
JK115L-2_S24	Arthropoda	Eukaryota	504
JK115L-4_S23	Arthropoda	Eukaryota	681
JK115L-8_S34	Arthropoda	Eukaryota	1
JK136L-2_S2	Arthropoda	Eukaryota	125
