sample	phylum	superkingdom	taxonReads
JoW001L-1_S1	Chlorophyta	Eukaryota	181
JoW001L-2_S2	Chlorophyta	Eukaryota	42
JoW001L-3_S3	Chlorophyta	Eukaryota	307
JoW001L-4_S4	Chlorophyta	Eukaryota	183
JoW001L-5_S5	Chlorophyta	Eukaryota	189
JoW001L-6_S6	Chlorophyta	Eukaryota	171
JoW002L-1_S9	Chlorophyta	Eukaryota	78
JoW002L-2_S10	Chlorophyta	Eukaryota	143
JoW002L-3_S11	Chlorophyta	Eukaryota	1
JoW002L-4_S12	Chlorophyta	Eukaryota	151
JoW002L-5_S13	Chlorophyta	Eukaryota	83
JoW002L-6_S14	Chlorophyta	Eukaryota	434
JoW003L-1_S17	Chlorophyta	Eukaryota	194
JoW003L-2_S18	Chlorophyta	Eukaryota	113
JoW003L-3_S19	Chlorophyta	Eukaryota	110
JoW003L-4_S20	Chlorophyta	Eukaryota	89
JoW003L-5_S21	Chlorophyta	Eukaryota	94
JoW003L-6_S22	Chlorophyta	Eukaryota	102
JoW004L-1_S25	Chlorophyta	Eukaryota	41
JoW004L-2_S26	Chlorophyta	Eukaryota	71
JoW004L-3_S27	Chlorophyta	Eukaryota	93
JoW004L-4_S28	Chlorophyta	Eukaryota	77
JoW004L-5_S29	Chlorophyta	Eukaryota	64
JoW004L-6_S30	Chlorophyta	Eukaryota	123
JoW005L-1_S33	Chlorophyta	Eukaryota	50
JoW005L-2_S34	Chlorophyta	Eukaryota	199
JoW005L-3_S35	Chlorophyta	Eukaryota	265
JoW005L-4_S36	Chlorophyta	Eukaryota	198
JoW005L-5_S37	Chlorophyta	Eukaryota	1
JoW007L-1_S1	Chlorophyta	Eukaryota	102
JoW007L-2_S2	Chlorophyta	Eukaryota	135
JoW007L-3_S3	Chlorophyta	Eukaryota	129
JoW007L-4_S4	Chlorophyta	Eukaryota	167
JoW007L-5_S5	Chlorophyta	Eukaryota	63
JoW007L-6_S6	Chlorophyta	Eukaryota	131
StB097L-01_S1	Chlorophyta	Eukaryota	353
StB097L-02_S2	Chlorophyta	Eukaryota	177
StB097L-03_S3	Chlorophyta	Eukaryota	693
StB097L-04_S4	Chlorophyta	Eukaryota	375
StB097L-05_S5	Chlorophyta	Eukaryota	775
StB097L-06_S6	Chlorophyta	Eukaryota	298
StB106L-01_S9	Chlorophyta	Eukaryota	375
StB106L-02_S10	Chlorophyta	Eukaryota	108
StB106L-04_S12	Chlorophyta	Eukaryota	71
StB106L-05_S13	Chlorophyta	Eukaryota	238
StB108L-01_S17	Chlorophyta	Eukaryota	194
StB108L-02_S18	Chlorophyta	Eukaryota	171
StB108L-03_S19	Chlorophyta	Eukaryota	344
StB108L-05_S21	Chlorophyta	Eukaryota	131
StB108L-07_S23	Chlorophyta	Eukaryota	239
StB109L-01_S25	Chlorophyta	Eukaryota	1109
StB109L-02_S26	Chlorophyta	Eukaryota	1584
StB109L-04_S28	Chlorophyta	Eukaryota	705
StB109L-05_S29	Chlorophyta	Eukaryota	802
StB109L-06_S30	Chlorophyta	Eukaryota	245
StB109L-07_S31	Chlorophyta	Eukaryota	1
WJ192L-1_S29	Chlorophyta	Eukaryota	136
WJ192L-3_S30	Chlorophyta	Eukaryota	70
WJ192L-4_S31	Chlorophyta	Eukaryota	75
WJ192L-5_S32	Chlorophyta	Eukaryota	146
WJ194L-2_S22	Chlorophyta	Eukaryota	313
WJ194L-3_S23	Chlorophyta	Eukaryota	67
WJ194L-4_S24	Chlorophyta	Eukaryota	68
WJ194L-5_S25	Chlorophyta	Eukaryota	67
WJ194L-6_S26	Chlorophyta	Eukaryota	86
WJ194L-7_S27	Chlorophyta	Eukaryota	1
WJ195L-1_S17	Chlorophyta	Eukaryota	130
WJ195L-5_S18	Chlorophyta	Eukaryota	50
WJ196L-10_S10	Chlorophyta	Eukaryota	456
WJ196L-11_S11	Chlorophyta	Eukaryota	232
WJ196L-12_S12	Chlorophyta	Eukaryota	185
WJ196L-13_S13	Chlorophyta	Eukaryota	147
WJ196L-14_S14	Chlorophyta	Eukaryota	134
WJ196L-15_S15	Chlorophyta	Eukaryota	38
WJ196L-4_S4	Chlorophyta	Eukaryota	319
WJ196L-5_S5	Chlorophyta	Eukaryota	234
WJ196L-6_S6	Chlorophyta	Eukaryota	195
WJ196L-7_S7	Chlorophyta	Eukaryota	158
WJ196L-8_S8	Chlorophyta	Eukaryota	287
WJ196L-9_S9	Chlorophyta	Eukaryota	1444
191011_SND405_A_L007_APMG-6-1	Chordata	Eukaryota	1348
191011_SND405_A_L007_APMG-6-2	Chordata	Eukaryota	3639
191011_SND405_A_L007_APMG-6-3	Chordata	Eukaryota	4841
191011_SND405_A_L007_APMG-6-4	Chordata	Eukaryota	10072
191011_SND405_A_L007_APMG-6-5	Chordata	Eukaryota	451
191011_SND405_A_L007_APMG-6-6	Chordata	Eukaryota	1403
191011_SND405_A_L007_APMG-6-7	Chordata	Eukaryota	98
191011_SND405_A_L007_APMG-6-8	Chordata	Eukaryota	86
200313_A00902_A_L001_APMG-8-1	Chordata	Eukaryota	4941
200313_A00902_A_L001_APMG-8-10	Chordata	Eukaryota	6557
200313_A00902_A_L001_APMG-8-11	Chordata	Eukaryota	3541
200313_A00902_A_L001_APMG-8-12	Chordata	Eukaryota	5885
200313_A00902_A_L001_APMG-8-2	Chordata	Eukaryota	5565
200313_A00902_A_L001_APMG-8-3	Chordata	Eukaryota	7677
200313_A00902_A_L001_APMG-8-4	Chordata	Eukaryota	15065
200313_A00902_A_L001_APMG-8-5	Chordata	Eukaryota	15662
200313_A00902_A_L001_APMG-8-6	Chordata	Eukaryota	2361
200313_A00902_A_L001_APMG-8-7	Chordata	Eukaryota	53
200313_A00902_A_L001_APMG-8-8	Chordata	Eukaryota	1635
200313_A00902_A_L001_APMG-8-9	Chordata	Eukaryota	1959
200313_A00902_A_L002_APMG-9-1	Chordata	Eukaryota	3582
200313_A00902_A_L002_APMG-9-10	Chordata	Eukaryota	4487
200313_A00902_A_L002_APMG-9-11	Chordata	Eukaryota	39179
200313_A00902_A_L002_APMG-9-12	Chordata	Eukaryota	85
200313_A00902_A_L002_APMG-9-13	Chordata	Eukaryota	55
200313_A00902_A_L002_APMG-9-2	Chordata	Eukaryota	5761
200313_A00902_A_L002_APMG-9-3	Chordata	Eukaryota	2915
200313_A00902_A_L002_APMG-9-4	Chordata	Eukaryota	74
200313_A00902_A_L002_APMG-9-5	Chordata	Eukaryota	3905
200313_A00902_A_L002_APMG-9-6	Chordata	Eukaryota	2796
200313_A00902_A_L002_APMG-9-7	Chordata	Eukaryota	2552
200313_A00902_A_L002_APMG-9-8	Chordata	Eukaryota	3502
200313_A00902_A_L002_APMG-9-9	Chordata	Eukaryota	1241
201118_A00902_B_L1-2_APMG_19_1	Chordata	Eukaryota	5631
201118_A00902_B_L1-2_APMG_19_10	Chordata	Eukaryota	1560
201118_A00902_B_L1-2_APMG_19_11	Chordata	Eukaryota	10406
201118_A00902_B_L1-2_APMG_19_12	Chordata	Eukaryota	5773
201118_A00902_B_L1-2_APMG_19_13	Chordata	Eukaryota	3452
201118_A00902_B_L1-2_APMG_19_14	Chordata	Eukaryota	4132
201118_A00902_B_L1-2_APMG_19_15	Chordata	Eukaryota	17960
201118_A00902_B_L1-2_APMG_19_16	Chordata	Eukaryota	17157
201118_A00902_B_L1-2_APMG_19_17	Chordata	Eukaryota	3903
201118_A00902_B_L1-2_APMG_19_18	Chordata	Eukaryota	405
201118_A00902_B_L1-2_APMG_19_19	Chordata	Eukaryota	173
201118_A00902_B_L1-2_APMG_19_2	Chordata	Eukaryota	7526
201118_A00902_B_L1-2_APMG_19_20	Chordata	Eukaryota	509
201118_A00902_B_L1-2_APMG_19_21	Chordata	Eukaryota	695
201118_A00902_B_L1-2_APMG_19_22	Chordata	Eukaryota	171
201118_A00902_B_L1-2_APMG_19_3	Chordata	Eukaryota	5042
201118_A00902_B_L1-2_APMG_19_4	Chordata	Eukaryota	34
201118_A00902_B_L1-2_APMG_19_5	Chordata	Eukaryota	9458
201118_A00902_B_L1-2_APMG_19_6	Chordata	Eukaryota	9142
201118_A00902_B_L1-2_APMG_19_7	Chordata	Eukaryota	5247
201118_A00902_B_L1-2_APMG_19_8	Chordata	Eukaryota	3023
201118_A00902_B_L1-2_APMG_19_9	Chordata	Eukaryota	6225
210810_A00902_B_L001_APMG-37-1	Chordata	Eukaryota	1196
210810_A00902_B_L001_APMG-37-10	Chordata	Eukaryota	5655
210810_A00902_B_L001_APMG-37-11	Chordata	Eukaryota	13496
210810_A00902_B_L001_APMG-37-12	Chordata	Eukaryota	118
210810_A00902_B_L001_APMG-37-13	Chordata	Eukaryota	277
210810_A00902_B_L001_APMG-37-14	Chordata	Eukaryota	72
210810_A00902_B_L001_APMG-37-15	Chordata	Eukaryota	2190
210810_A00902_B_L001_APMG-37-2	Chordata	Eukaryota	5033
210810_A00902_B_L001_APMG-37-3	Chordata	Eukaryota	2300
210810_A00902_B_L001_APMG-37-4	Chordata	Eukaryota	6007
210810_A00902_B_L001_APMG-37-5	Chordata	Eukaryota	237
210810_A00902_B_L001_APMG-37-6	Chordata	Eukaryota	9098
210810_A00902_B_L001_APMG-37-7	Chordata	Eukaryota	7106
210810_A00902_B_L001_APMG-37-8	Chordata	Eukaryota	7426
210810_A00902_B_L001_APMG-37-9	Chordata	Eukaryota	3535
210810_A00902_B_L002_APMG-38-1	Chordata	Eukaryota	902
210810_A00902_B_L002_APMG-38-10	Chordata	Eukaryota	9484
210810_A00902_B_L002_APMG-38-11	Chordata	Eukaryota	343
210810_A00902_B_L002_APMG-38-12	Chordata	Eukaryota	140
210810_A00902_B_L002_APMG-38-13	Chordata	Eukaryota	173
210810_A00902_B_L002_APMG-38-14	Chordata	Eukaryota	413
210810_A00902_B_L002_APMG-38-15	Chordata	Eukaryota	43307
210810_A00902_B_L002_APMG-38-2	Chordata	Eukaryota	2064
210810_A00902_B_L002_APMG-38-3	Chordata	Eukaryota	3088
210810_A00902_B_L002_APMG-38-4	Chordata	Eukaryota	4599
210810_A00902_B_L002_APMG-38-5	Chordata	Eukaryota	5657
210810_A00902_B_L002_APMG-38-6	Chordata	Eukaryota	552
210810_A00902_B_L002_APMG-38-7	Chordata	Eukaryota	4855
210810_A00902_B_L002_APMG-38-8	Chordata	Eukaryota	14870
210810_A00902_B_L002_APMG-38-9	Chordata	Eukaryota	2556
BH193L-1_S22	Chordata	Eukaryota	939
BH193L-2_S19	Chordata	Eukaryota	1554
BH193L-2_S20	Chordata	Eukaryota	1154
BH193L-3_S20	Chordata	Eukaryota	3671
BH193L-4_S23	Chordata	Eukaryota	3733
BH193L-5_S24	Chordata	Eukaryota	1385
BH194L-1_S25	Chordata	Eukaryota	3605
BH194L-2_S26	Chordata	Eukaryota	5084
BH194L-3_S25	Chordata	Eukaryota	784
BH194L-4_S16	Chordata	Eukaryota	1927
BH194L-4_S17	Chordata	Eukaryota	1179
BH194L-6_S26	Chordata	Eukaryota	2027
BH194L-7_S17	Chordata	Eukaryota	3810
BH194L-7_S18	Chordata	Eukaryota	2720
BH194L-8_S30	Chordata	Eukaryota	10
BH195L-1_S27	Chordata	Eukaryota	2992
BH195L-2_S18	Chordata	Eukaryota	5509
BH195L-2_S19	Chordata	Eukaryota	3583
BH195L-3_S28	Chordata	Eukaryota	4240
BH195L-4_S29	Chordata	Eukaryota	4720
BH195L-7_S31	Chordata	Eukaryota	43
EBS12	Chordata	Eukaryota	62
ELS162S7	Chordata	Eukaryota	10348
ELS163S8	Chordata	Eukaryota	25099
ELS165S9	Chordata	Eukaryota	23019
ELS167S10	Chordata	Eukaryota	21933
ELS170S11	Chordata	Eukaryota	6
IE111L-1_S1	Chordata	Eukaryota	6804
IE111L-2_S2	Chordata	Eukaryota	7134
IE111L-3_S3	Chordata	Eukaryota	17075
IE111L-4_S1	Chordata	Eukaryota	4259
IE111L-5_S5	Chordata	Eukaryota	5577
IE111L-6_S6	Chordata	Eukaryota	12744
IE111L-7_S7	Chordata	Eukaryota	18721
IE111L-8_S8	Chordata	Eukaryota	27
IE112L-1_S9	Chordata	Eukaryota	7505
IE112L-2_S10	Chordata	Eukaryota	4791
IE112L-3_S11	Chordata	Eukaryota	6397
IE112L-4_S17	Chordata	Eukaryota	6120
IE112L-5_S18	Chordata	Eukaryota	4777
IE112L-6_S19	Chordata	Eukaryota	5583
IE112L-7_S12	Chordata	Eukaryota	4472
IE112L-8_S15	Chordata	Eukaryota	32
IE113L-1_S13	Chordata	Eukaryota	18558
IE113L-2_S14	Chordata	Eukaryota	10214
IE113L-3_S3	Chordata	Eukaryota	44430
IE113L-4_S4	Chordata	Eukaryota	13329
IE113L-5_S5	Chordata	Eukaryota	7345
IE113L-6_S6	Chordata	Eukaryota	7456
IE113L-7_S7	Chordata	Eukaryota	8664
IE114L-1_S9	Chordata	Eukaryota	5745
IE114L-2_S10	Chordata	Eukaryota	8182
IE114L-3_S11	Chordata	Eukaryota	4379
IE114L-4_S4	Chordata	Eukaryota	70
IE114L-5_S2	Chordata	Eukaryota	65
IE114L-6_S16	Chordata	Eukaryota	61
IE114L-7_S17	Chordata	Eukaryota	90
IE114L-8_S20	Chordata	Eukaryota	72
IE115L-3_S19	Chordata	Eukaryota	4
JK079L-1_S1	Chordata	Eukaryota	4162
JK079L-10-WDH_S10	Chordata	Eukaryota	16024
JK079L-11-WDH_S11	Chordata	Eukaryota	62687
JK079L-12-WDH_S12	Chordata	Eukaryota	10326
JK079L-13-WDH_S13	Chordata	Eukaryota	13358
JK079L-14-WDH_S14	Chordata	Eukaryota	8500
JK079L-15_S15	Chordata	Eukaryota	28
JK079L-16_S16	Chordata	Eukaryota	13
JK079L-2_S2	Chordata	Eukaryota	4584
JK079L-3_S3	Chordata	Eukaryota	3146
JK079L-4_S4	Chordata	Eukaryota	8522
JK079L-5_S5	Chordata	Eukaryota	9005
JK079L-6-WDH_S6	Chordata	Eukaryota	10799
JK079L-7-WDH_S7	Chordata	Eukaryota	6181
JK079L-8_S8	Chordata	Eukaryota	5055
JK079L-9_S9	Chordata	Eukaryota	7401
JK080L-1_S17	Chordata	Eukaryota	6588
JK080L-10_S26	Chordata	Eukaryota	1900
JK080L-11_S27	Chordata	Eukaryota	14333
JK080L-12_S28	Chordata	Eukaryota	2565
JK080L-13_S29	Chordata	Eukaryota	1364
JK080L-14_S30	Chordata	Eukaryota	1931
JK080L-15_S31	Chordata	Eukaryota	31
JK080L-16_S32	Chordata	Eukaryota	9
JK080L-2_S18	Chordata	Eukaryota	7831
JK080L-3_S19	Chordata	Eukaryota	2755
JK080L-4_S20	Chordata	Eukaryota	7632
JK080L-5_S21	Chordata	Eukaryota	16
JK080L-6_S22	Chordata	Eukaryota	2674
JK080L-7_S23	Chordata	Eukaryota	62000
JK080L-8_S24	Chordata	Eukaryota	1221
JK080L-9_S25	Chordata	Eukaryota	2122
JK081L-1_S1	Chordata	Eukaryota	7584
JK081L-10_S10	Chordata	Eukaryota	142
JK081L-11_S11	Chordata	Eukaryota	25209
JK081L-12_S12	Chordata	Eukaryota	28284
JK081L-13_S13	Chordata	Eukaryota	31889
JK081L-14_S14	Chordata	Eukaryota	132
JK081L-15_S15	Chordata	Eukaryota	46
JK081L-2_S2	Chordata	Eukaryota	13871
JK081L-3_S3	Chordata	Eukaryota	7240
JK081L-4_S4	Chordata	Eukaryota	11669
JK081L-6_S6	Chordata	Eukaryota	27368
JK081L-7_S7	Chordata	Eukaryota	10318
JK081L-8_S8	Chordata	Eukaryota	11407
JK081L-9_S9	Chordata	Eukaryota	39715
JK105L-6_S21	Chordata	Eukaryota	8964
JK109L-4_S21	Chordata	Eukaryota	7015
JK109L-4_S22	Chordata	Eukaryota	11955
JK109L-5_S30	Chordata	Eukaryota	1206
JK109L-6_S31	Chordata	Eukaryota	4900
JK109L-8_S33	Chordata	Eukaryota	58
JK115L-2_S24	Chordata	Eukaryota	35421
JK115L-4_S23	Chordata	Eukaryota	11785
JK115L-5_S27	Chordata	Eukaryota	40
JK115L-8_S34	Chordata	Eukaryota	22
JK136L-2_S2	Chordata	Eukaryota	2949
JK136L-3_S3	Chordata	Eukaryota	7829
JK136L-4_S4	Chordata	Eukaryota	5930
JK136L-5_S5	Chordata	Eukaryota	3767
JK136L-6_S6	Chordata	Eukaryota	3336
JK136L-7_S7	Chordata	Eukaryota	7526
JK136L-8_S8	Chordata	Eukaryota	16
JK137L-1_S9	Chordata	Eukaryota	9885
JK137L-2_S10	Chordata	Eukaryota	2943
JK137L-3_S11	Chordata	Eukaryota	8331
JK137L-4_S12	Chordata	Eukaryota	10790
JK137L-5_S13	Chordata	Eukaryota	5944
JK137L-6_S14	Chordata	Eukaryota	13813
JK137L-7_S15	Chordata	Eukaryota	6629
JK137L-8_S16	Chordata	Eukaryota	15
JK138L-1_S17	Chordata	Eukaryota	5778
JK138L-2_S18	Chordata	Eukaryota	15441
JK138L-3_S19	Chordata	Eukaryota	21649
JK138L-4_S20	Chordata	Eukaryota	24307
JK138L-6_S22	Chordata	Eukaryota	6997
JK138L-7_S23	Chordata	Eukaryota	4831
JK138L-8_S24	Chordata	Eukaryota	24
JoW001L-1_S1	Chordata	Eukaryota	2466
JoW001L-2_S2	Chordata	Eukaryota	1772
JoW001L-3_S3	Chordata	Eukaryota	5229
JoW001L-4_S4	Chordata	Eukaryota	3245
JoW001L-5_S5	Chordata	Eukaryota	3642
JoW001L-6_S6	Chordata	Eukaryota	4612
JoW001L-7_S7	Chordata	Eukaryota	29
JoW001L-8_S8	Chordata	Eukaryota	16
JoW002L-1_S9	Chordata	Eukaryota	3497
JoW002L-2_S10	Chordata	Eukaryota	7157
JoW002L-3_S11	Chordata	Eukaryota	4
JoW002L-4_S12	Chordata	Eukaryota	11641
JoW002L-5_S13	Chordata	Eukaryota	21508
JoW002L-6_S14	Chordata	Eukaryota	29158
JoW002L-7_S15	Chordata	Eukaryota	49
JoW002L-8_S16	Chordata	Eukaryota	43
JoW003L-1_S17	Chordata	Eukaryota	10599
JoW003L-2_S18	Chordata	Eukaryota	6085
JoW003L-3_S19	Chordata	Eukaryota	4823
JoW003L-4_S20	Chordata	Eukaryota	2238
JoW003L-5_S21	Chordata	Eukaryota	2802
JoW003L-6_S22	Chordata	Eukaryota	4455
JoW003L-8_S24	Chordata	Eukaryota	17
JoW004L-1_S25	Chordata	Eukaryota	933
JoW004L-2_S26	Chordata	Eukaryota	1506
JoW004L-3_S27	Chordata	Eukaryota	2962
JoW004L-4_S28	Chordata	Eukaryota	3335
JoW004L-5_S29	Chordata	Eukaryota	4477
JoW004L-6_S30	Chordata	Eukaryota	8391
JoW005L-1_S33	Chordata	Eukaryota	4276
JoW005L-2_S34	Chordata	Eukaryota	15453
JoW005L-3_S35	Chordata	Eukaryota	33452
JoW005L-4_S36	Chordata	Eukaryota	72947
JoW005L-5_S37	Chordata	Eukaryota	139
JoW007L-1_S1	Chordata	Eukaryota	5706
JoW007L-2_S2	Chordata	Eukaryota	8326
JoW007L-3_S3	Chordata	Eukaryota	8361
JoW007L-4_S4	Chordata	Eukaryota	6419
JoW007L-5_S5	Chordata	Eukaryota	4060
JoW007L-6_S6	Chordata	Eukaryota	2195
StB097L-01_S1	Chordata	Eukaryota	8300
StB097L-02_S2	Chordata	Eukaryota	2993
StB097L-03_S3	Chordata	Eukaryota	12927
StB097L-04_S4	Chordata	Eukaryota	6359
StB097L-05_S5	Chordata	Eukaryota	18979
StB097L-06_S6	Chordata	Eukaryota	5780
StB097L-07_S7	Chordata	Eukaryota	6283
StB097L-08_S8	Chordata	Eukaryota	528
StB106L-01_S9	Chordata	Eukaryota	74379
StB106L-02_S10	Chordata	Eukaryota	12172
StB106L-04_S12	Chordata	Eukaryota	2366
StB106L-05_S13	Chordata	Eukaryota	4508
StB106L-06_S14	Chordata	Eukaryota	290
StB106L-08_S16	Chordata	Eukaryota	137
StB108L-01_S17	Chordata	Eukaryota	5997
StB108L-02_S18	Chordata	Eukaryota	6363
StB108L-03_S19	Chordata	Eukaryota	7628
StB108L-04_S20	Chordata	Eukaryota	131
StB108L-05_S21	Chordata	Eukaryota	2242
StB108L-06_S22	Chordata	Eukaryota	196
StB108L-07_S23	Chordata	Eukaryota	7176
StB108L-08_S24	Chordata	Eukaryota	156
StB109L-01_S25	Chordata	Eukaryota	18392
StB109L-02_S26	Chordata	Eukaryota	19702
StB109L-04_S28	Chordata	Eukaryota	14314
StB109L-05_S29	Chordata	Eukaryota	11386
StB109L-06_S30	Chordata	Eukaryota	6152
StB109L-07_S31	Chordata	Eukaryota	755
StB109L-08_S32	Chordata	Eukaryota	281
WJ192L-1_S29	Chordata	Eukaryota	3164
WJ192L-3_S30	Chordata	Eukaryota	5906
WJ192L-4_S31	Chordata	Eukaryota	9508
WJ192L-5_S32	Chordata	Eukaryota	13713
WJ192L-6_S33	Chordata	Eukaryota	62
WJ192L-7_S34	Chordata	Eukaryota	172
WJ192L-8_S35	Chordata	Eukaryota	14
WJ194L-1_S21	Chordata	Eukaryota	2
WJ194L-2_S22	Chordata	Eukaryota	6576
WJ194L-3_S23	Chordata	Eukaryota	4508
WJ194L-4_S24	Chordata	Eukaryota	14659
WJ194L-5_S25	Chordata	Eukaryota	4175
WJ194L-6_S26	Chordata	Eukaryota	5833
WJ194L-7_S27	Chordata	Eukaryota	495
WJ194L-8_S28	Chordata	Eukaryota	59
WJ195L-1_S17	Chordata	Eukaryota	5425
WJ195L-5_S18	Chordata	Eukaryota	2400
WJ195L-7_S19	Chordata	Eukaryota	36
WJ195L-8_S20	Chordata	Eukaryota	13
WJ196L-1_S1	Chordata	Eukaryota	499
WJ196L-10_S10	Chordata	Eukaryota	7972
WJ196L-11_S11	Chordata	Eukaryota	25043
WJ196L-12_S12	Chordata	Eukaryota	7784
WJ196L-13_S13	Chordata	Eukaryota	11891
WJ196L-14_S14	Chordata	Eukaryota	14170
WJ196L-15_S15	Chordata	Eukaryota	11075
WJ196L-16_S16	Chordata	Eukaryota	27
WJ196L-2_S2	Chordata	Eukaryota	68
WJ196L-3_S3	Chordata	Eukaryota	191
WJ196L-4_S4	Chordata	Eukaryota	899
WJ196L-5_S5	Chordata	Eukaryota	645
WJ196L-6_S6	Chordata	Eukaryota	1011
WJ196L-7_S7	Chordata	Eukaryota	1675
WJ196L-8_S8	Chordata	Eukaryota	3134
WJ196L-9_S9	Chordata	Eukaryota	2219
191011_SND405_A_L007_APMG-6-1	Discosea	Eukaryota	1
191011_SND405_A_L007_APMG-6-2	Discosea	Eukaryota	1
191011_SND405_A_L007_APMG-6-4	Discosea	Eukaryota	3
200313_A00902_A_L001_APMG-8-1	Discosea	Eukaryota	2
200313_A00902_A_L001_APMG-8-11	Discosea	Eukaryota	1
200313_A00902_A_L001_APMG-8-12	Discosea	Eukaryota	3
200313_A00902_A_L001_APMG-8-2	Discosea	Eukaryota	2
200313_A00902_A_L001_APMG-8-3	Discosea	Eukaryota	8
200313_A00902_A_L001_APMG-8-4	Discosea	Eukaryota	9
200313_A00902_A_L001_APMG-8-5	Discosea	Eukaryota	8
200313_A00902_A_L002_APMG-9-1	Discosea	Eukaryota	1
200313_A00902_A_L002_APMG-9-10	Discosea	Eukaryota	4
200313_A00902_A_L002_APMG-9-11	Discosea	Eukaryota	4
200313_A00902_A_L002_APMG-9-2	Discosea	Eukaryota	1
200313_A00902_A_L002_APMG-9-3	Discosea	Eukaryota	1
200313_A00902_A_L002_APMG-9-8	Discosea	Eukaryota	2
200313_A00902_A_L002_APMG-9-9	Discosea	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_1	Discosea	Eukaryota	77
201118_A00902_B_L1-2_APMG_19_10	Discosea	Eukaryota	22
201118_A00902_B_L1-2_APMG_19_11	Discosea	Eukaryota	563
201118_A00902_B_L1-2_APMG_19_12	Discosea	Eukaryota	519
201118_A00902_B_L1-2_APMG_19_13	Discosea	Eukaryota	12090
201118_A00902_B_L1-2_APMG_19_14	Discosea	Eukaryota	2
201118_A00902_B_L1-2_APMG_19_15	Discosea	Eukaryota	15323
201118_A00902_B_L1-2_APMG_19_16	Discosea	Eukaryota	3887
201118_A00902_B_L1-2_APMG_19_17	Discosea	Eukaryota	146
201118_A00902_B_L1-2_APMG_19_18	Discosea	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_2	Discosea	Eukaryota	13
201118_A00902_B_L1-2_APMG_19_20	Discosea	Eukaryota	8
201118_A00902_B_L1-2_APMG_19_21	Discosea	Eukaryota	1
201118_A00902_B_L1-2_APMG_19_22	Discosea	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_3	Discosea	Eukaryota	13
201118_A00902_B_L1-2_APMG_19_4	Discosea	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_5	Discosea	Eukaryota	1453
201118_A00902_B_L1-2_APMG_19_6	Discosea	Eukaryota	4166
201118_A00902_B_L1-2_APMG_19_7	Discosea	Eukaryota	4
201118_A00902_B_L1-2_APMG_19_8	Discosea	Eukaryota	5088
201118_A00902_B_L1-2_APMG_19_9	Discosea	Eukaryota	38
210810_A00902_B_L001_APMG-37-1	Discosea	Eukaryota	325
210810_A00902_B_L001_APMG-37-10	Discosea	Eukaryota	2
210810_A00902_B_L001_APMG-37-11	Discosea	Eukaryota	1
210810_A00902_B_L001_APMG-37-12	Discosea	Eukaryota	1
210810_A00902_B_L001_APMG-37-2	Discosea	Eukaryota	51
210810_A00902_B_L001_APMG-37-3	Discosea	Eukaryota	10956
210810_A00902_B_L001_APMG-37-4	Discosea	Eukaryota	12446
210810_A00902_B_L001_APMG-37-5	Discosea	Eukaryota	6
210810_A00902_B_L001_APMG-37-6	Discosea	Eukaryota	65
210810_A00902_B_L001_APMG-37-7	Discosea	Eukaryota	1
210810_A00902_B_L001_APMG-37-8	Discosea	Eukaryota	1
210810_A00902_B_L001_APMG-37-9	Discosea	Eukaryota	1
210810_A00902_B_L002_APMG-38-1	Discosea	Eukaryota	1
210810_A00902_B_L002_APMG-38-10	Discosea	Eukaryota	12
210810_A00902_B_L002_APMG-38-11	Discosea	Eukaryota	1
210810_A00902_B_L002_APMG-38-2	Discosea	Eukaryota	105
210810_A00902_B_L002_APMG-38-3	Discosea	Eukaryota	11
210810_A00902_B_L002_APMG-38-4	Discosea	Eukaryota	7
210810_A00902_B_L002_APMG-38-5	Discosea	Eukaryota	9
210810_A00902_B_L002_APMG-38-7	Discosea	Eukaryota	237
210810_A00902_B_L002_APMG-38-8	Discosea	Eukaryota	3
210810_A00902_B_L002_APMG-38-9	Discosea	Eukaryota	71
BH193L-1_S22	Discosea	Eukaryota	226
BH193L-2_S19	Discosea	Eukaryota	191
BH193L-2_S20	Discosea	Eukaryota	128
BH193L-3_S20	Discosea	Eukaryota	3805
BH193L-4_S23	Discosea	Eukaryota	30
BH193L-5_S24	Discosea	Eukaryota	6216
BH194L-1_S25	Discosea	Eukaryota	49
BH194L-2_S26	Discosea	Eukaryota	1
BH194L-3_S25	Discosea	Eukaryota	1
BH194L-4_S16	Discosea	Eukaryota	2
BH194L-4_S17	Discosea	Eukaryota	8
BH194L-6_S26	Discosea	Eukaryota	83
BH194L-7_S17	Discosea	Eukaryota	570
BH194L-7_S18	Discosea	Eukaryota	401
BH195L-1_S27	Discosea	Eukaryota	8
BH195L-2_S18	Discosea	Eukaryota	62
BH195L-2_S19	Discosea	Eukaryota	51
BH195L-3_S28	Discosea	Eukaryota	4
BH195L-4_S29	Discosea	Eukaryota	4
ELS162S7	Discosea	Eukaryota	6
ELS163S8	Discosea	Eukaryota	2
ELS165S9	Discosea	Eukaryota	1641
ELS167S10	Discosea	Eukaryota	10
ELS170S11	Discosea	Eukaryota	70
IE111L-1_S1	Discosea	Eukaryota	1275
IE111L-2_S2	Discosea	Eukaryota	7472
